initialRegeneration,time,"If(Ok>0 && Rej>0,1,0)"
Ok Clock @ error|0 w|0,0,0.000000000
Ok Clock @ error|0 w|0,1,0.000000000
Ok Clock @ error|0 w|0,2,0.000000000
Ok Clock @ error|0 w|0,3,0.000000000
Ok Clock @ error|0 w|0,4,0.000000000
Ok Clock @ error|0 w|0,5,0.000000000
Ok Clock @ error|0 w|0,6,0.000000000
Ok Clock @ error|0 w|0,7,0.000000000
Ok Clock @ error|0 w|0,8,0.000000000
Ok Clock @ error|0 w|0,9,0.000000000
Ok Clock @ error|0 w|0,10,0.000000000
Ok Clock @ error|0 w|0,11,0.000000000
Ok Clock @ error|0 w|0,12,0.000000000
Ok Clock @ error|0 w|0,13,0.000000000
Ok Clock @ error|0 w|0,14,0.000000000
Ok Clock @ error|0 w|0,15,0.000000000
Ok Clock @ error|0 w|0,16,0.000000000
Ok Clock @ error|0 w|0,17,0.000000000
Ok Clock @ error|0 w|0,18,0.000000000
Ok Clock @ error|0 w|0,19,0.000000000
Ok Clock @ error|0 w|0,20,0.000000000
Ok Clock @ error|0 w|0,21,0.000000000
Ok Clock @ error|0 w|0,22,0.000000000
Ok Clock @ error|0 w|0,23,0.000000000
Ok Clock @ error|0 w|0,24,0.000000000
Ok Clock @ error|0 w|0,25,0.000000000
Ok Clock @ error|0 w|0,26,0.000000000
Ok Clock @ error|0 w|0,27,0.000000000
Ok Clock @ error|0 w|0,28,0.000000000
Ok Clock @ error|0 w|0,29,0.000000000
Ok Clock @ error|0 w|0,30,0.000000000
Ok Clock @ error|0 w|0,31,0.000000000
Ok Clock @ error|0 w|0,32,0.000000000
Ok Clock @ error|0 w|0,33,0.000000000
Ok Clock @ error|0 w|0,34,0.000000000
Ok Clock @ error|0 w|0,35,0.000000000
Ok Clock @ error|0 w|0,36,0.000000000
Ok Clock @ error|0 w|0,37,0.000000000
Ok Clock @ error|0 w|0,38,0.000000000
Ok Clock @ error|0 w|0,39,0.000000000
Ok Clock @ error|0 w|0,40,0.000000000
Ok Clock @ error|0 w|0,41,0.000000000
Ok Clock @ error|0 w|0,42,0.000000000
Ok Clock @ error|0 w|0,43,0.000000000
Ok Clock @ error|0 w|0,44,0.000000000
Ok Clock @ error|0 w|0,45,0.000000000
Ok Clock @ error|0 w|0,46,0.000000000
Ok Clock @ error|0 w|0,47,0.000000000
Ok Clock @ error|0 w|0,48,0.000000000
Ok Clock @ error|0 w|0,49,0.000000000
Ok Clock @ error|0 w|0,50,0.000000000
Ok Clock @ error|0 w|0,51,0.000000000
Ok Clock @ error|0 w|0,52,0.000000000
Ok Clock @ error|0 w|0,53,0.000000000
Ok Clock @ error|0 w|0,54,0.000000000
Ok Clock @ error|0 w|0,55,0.000000000
Ok Clock @ error|0 w|0,56,0.000000000
Ok Clock @ error|0 w|0,57,0.000000000
Ok Clock @ error|0 w|0,58,0.000000000
Ok Clock @ error|0 w|0,59,0.000000000
Ok Clock @ error|0 w|0,60,0.000000000
Ok Clock @ error|0 w|0,61,0.000000000
Ok Clock @ error|0 w|0,62,0.000000000
Ok Clock @ error|0 w|0,63,0.000000000
Ok Clock @ error|0 w|0,64,0.000000000
Ok Clock @ error|0 w|0,65,0.000000000
Ok Clock @ error|0 w|0,66,0.000000000
Ok Clock @ error|0 w|0,67,0.000000000
Ok Clock @ error|0 w|0,68,0.000000000
Ok Clock @ error|0 w|0,69,0.000000000
Ok Clock @ error|0 w|0,70,0.000000000
Ok Clock @ error|0 w|0,71,0.000000000
Ok Clock @ error|0 w|0,72,0.000000000
Ok Clock @ error|0 w|0,73,0.000000000
Ok Clock @ error|0 w|0,74,0.000000000
Ok Clock @ error|0 w|0,75,0.000000000
Ok Clock @ error|0 w|0,76,0.000000000
Ok Clock @ error|0 w|0,77,0.000000000
Ok Clock @ error|0 w|0,78,0.000000000
Ok Clock @ error|0 w|0,79,0.000000000
Ok Clock @ error|0 w|0,80,0.000000000
Ok Clock @ error|0 w|0,81,0.000000000
Ok Clock @ error|0 w|0,82,0.000000000
Ok Clock @ error|0 w|0,83,0.000000000
Ok Clock @ error|0 w|0,84,0.000000000
Ok Clock @ error|0 w|0,85,0.000000000
Ok Clock @ error|0 w|0,86,0.000000000
Ok Clock @ error|0 w|0,87,0.000000000
Ok Clock @ error|0 w|0,88,0.000000000
Ok Clock @ error|0 w|0,89,0.000000000
Ok Clock @ error|0 w|0,90,0.000000000
Ok Clock @ error|0 w|0,91,0.000000000
Ok Clock @ error|0 w|0,92,0.000000000
Ok Clock @ error|0 w|0,93,0.000040214
Ok Clock @ error|0 w|0,94,0.000120641
Ok Clock @ error|0 w|0,95,0.000160855
Ok Clock @ error|0 w|0,96,0.000160855
Ok Clock @ error|0 w|0,97,0.000160855
Ok Clock @ error|0 w|0,98,0.000160855
Ok Clock @ error|0 w|0,99,0.000160855
Ok Clock @ error|0 w|0,100,0.000160855
Ok Clock @ error|0 w|0,101,0.000160855
Ok Clock @ error|0 w|0,102,0.000160855
Ok Clock @ error|0 w|0,103,0.000160855
Ok Clock @ error|0 w|0,104,0.000160855
Ok Clock @ error|0 w|0,105,0.000160855
Ok Clock @ error|0 w|0,106,0.000160855
Ok Clock @ error|0 w|0,107,0.000160855
Ok Clock @ error|0 w|0,108,0.000160855
Ok Clock @ error|0 w|0,109,0.000160855
Ok Clock @ error|0 w|0,110,0.000160855
Ok Clock @ error|0 w|0,111,0.000160855
Ok Clock @ error|0 w|0,112,0.000160855
Ok Clock @ error|0 w|0,113,0.000160855
Ok Clock @ error|0 w|0,114,0.000160855
Ok Clock @ error|0 w|0,115,0.000160855
Ok Clock @ error|0 w|0,116,0.000160855
Ok Clock @ error|0 w|0,117,0.000160855
Ok Clock @ error|0 w|0,118,0.000160855
Ok Clock @ error|0 w|0,119,0.000160855
Ok Clock @ error|0 w|0,120,0.000160855
Ok Clock @ error|0 w|0,121,0.000160855
Ok Clock @ error|0 w|0,122,0.000160855
Ok Clock @ error|0 w|0,123,0.000160855
Ok Clock @ error|0 w|0,124,0.000160855
Ok Clock @ error|0 w|0,125,0.000160855
Ok Clock @ error|0 w|0,126,0.000160855
Ok Clock @ error|0 w|0,127,0.000160855
Ok Clock @ error|0 w|0,128,0.000160856
Ok Clock @ error|0 w|0,129,0.000160856
Ok Clock @ error|0 w|0,130,0.000160856
Ok Clock @ error|0 w|0,131,0.000160856
Ok Clock @ error|0 w|0,132,0.000160856
Ok Clock @ error|0 w|0,133,0.000160857
Ok Clock @ error|0 w|0,134,0.000160857
Ok Clock @ error|0 w|0,135,0.000160857
Ok Clock @ error|0 w|0,136,0.000462595
Ok Clock @ error|0 w|0,137,0.001066070
Ok Clock @ error|0 w|0,138,0.001367807
Ok Clock @ error|0 w|0,139,0.001367808
Ok Clock @ error|0 w|0,140,0.001367808
Ok Clock @ error|0 w|0,141,0.001367809
Ok Clock @ error|0 w|0,142,0.001367809
Ok Clock @ error|0 w|0,143,0.001367810
Ok Clock @ error|0 w|0,144,0.001367810
Ok Clock @ error|0 w|0,145,0.001367811
Ok Clock @ error|0 w|0,146,0.001367812
Ok Clock @ error|0 w|0,147,0.001367813
Ok Clock @ error|0 w|0,148,0.001367813
Ok Clock @ error|0 w|0,149,0.001367814
Ok Clock @ error|0 w|0,150,0.001367815
Ok Clock @ error|0 w|0,151,0.001367816
Ok Clock @ error|0 w|0,152,0.001367817
Ok Clock @ error|0 w|0,153,0.001367818
Ok Clock @ error|0 w|0,154,0.001367820
Ok Clock @ error|0 w|0,155,0.001367821
Ok Clock @ error|0 w|0,156,0.001367822
Ok Clock @ error|0 w|0,157,0.001367824
Ok Clock @ error|0 w|0,158,0.001367825
Ok Clock @ error|0 w|0,159,0.001367827
Ok Clock @ error|0 w|0,160,0.001367829
Ok Clock @ error|0 w|0,161,0.001367831
Ok Clock @ error|0 w|0,162,0.001367833
Ok Clock @ error|0 w|0,163,0.001367835
Ok Clock @ error|0 w|0,164,0.001367837
Ok Clock @ error|0 w|0,165,0.001367840
Ok Clock @ error|0 w|0,166,0.001367843
Ok Clock @ error|0 w|0,167,0.001367845
Ok Clock @ error|0 w|0,168,0.001367849
Ok Clock @ error|0 w|0,169,0.001367852
Ok Clock @ error|0 w|0,170,0.001367855
Ok Clock @ error|0 w|0,171,0.001367859
Ok Clock @ error|0 w|0,172,0.001367863
Ok Clock @ error|0 w|0,173,0.001367867
Ok Clock @ error|0 w|0,174,0.001367872
Ok Clock @ error|0 w|0,175,0.001367876
Ok Clock @ error|0 w|0,176,0.001367881
Ok Clock @ error|0 w|0,177,0.001367887
Ok Clock @ error|0 w|0,178,0.001367892
Ok Clock @ error|0 w|0,179,0.001367898
Ok Clock @ error|0 w|0,180,0.001367905
Ok Clock @ error|0 w|0,181,0.001367911
Ok Clock @ error|0 w|0,182,0.001367918
Ok Clock @ error|0 w|0,183,0.001367926
Ok Clock @ error|0 w|0,184,0.001367934
Ok Clock @ error|0 w|0,185,0.001367942
Ok Clock @ error|0 w|0,186,0.001367951
Ok Clock @ error|0 w|0,187,0.001367960
Ok Clock @ error|0 w|0,188,0.001371571
Ok Clock @ error|0 w|0,189,0.003479255
Ok Clock @ error|0 w|0,190,0.007683957
Ok Clock @ error|0 w|0,191,0.009784732
Ok Clock @ error|0 w|0,192,0.009784889
Ok Clock @ error|0 w|0,193,0.009784901
Ok Clock @ error|0 w|0,194,0.009784913
Ok Clock @ error|0 w|0,195,0.009784925
Ok Clock @ error|0 w|0,196,0.009784937
Ok Clock @ error|0 w|0,197,0.009784949
Ok Clock @ error|0 w|0,198,0.009784962
Ok Clock @ error|0 w|0,199,0.009784974
Ok Clock @ error|0 w|0,200,0.009784987
Ok Clock @ error|0 w|0,201,0.009785001
Ok Clock @ error|0 w|0,202,0.009785015
Ok Clock @ error|0 w|0,203,0.009785029
Ok Clock @ error|0 w|0,204,0.010000872
Ok Clock @ error|0 w|0,205,0.010432543
Ok Clock @ error|0 w|0,206,0.010648387
Ok Clock @ error|0 w|0,207,0.010648404
Ok Clock @ error|0 w|0,208,0.010648422
Ok Clock @ error|0 w|0,209,0.010648441
Ok Clock @ error|0 w|0,210,0.010648461
Ok Clock @ error|0 w|0,211,0.010648482
Ok Clock @ error|0 w|0,212,0.010648504
Ok Clock @ error|0 w|0,213,0.010648527
Ok Clock @ error|0 w|0,214,0.010648551
Ok Clock @ error|0 w|0,215,0.010648576
Ok Clock @ error|0 w|0,216,0.010648603
Ok Clock @ error|0 w|0,217,0.010648631
Ok Clock @ error|0 w|0,218,0.010648661
Ok Clock @ error|0 w|0,219,0.010648692
Ok Clock @ error|0 w|0,220,0.010648724
Ok Clock @ error|0 w|0,221,0.010648758
Ok Clock @ error|0 w|0,222,0.010648794
Ok Clock @ error|0 w|0,223,0.010648832
Ok Clock @ error|0 w|0,224,0.010648872
Ok Clock @ error|0 w|0,225,0.010648914
Ok Clock @ error|0 w|0,226,0.010648958
Ok Clock @ error|0 w|0,227,0.010649004
Ok Clock @ error|0 w|0,228,0.010649052
Ok Clock @ error|0 w|0,229,0.010649103
Ok Clock @ error|0 w|0,230,0.010649156
Ok Clock @ error|0 w|0,231,0.010679061
Ok Clock @ error|0 w|0,232,0.010750379
Ok Clock @ error|0 w|0,233,0.010804623
Ok Clock @ error|0 w|0,234,0.010818667
Ok Clock @ error|0 w|0,235,0.010819942
Ok Clock @ error|0 w|0,236,0.010820009
Ok Clock @ error|0 w|0,237,0.010820076
Ok Clock @ error|0 w|0,238,0.010820144
Ok Clock @ error|0 w|0,239,0.010820210
Ok Clock @ error|0 w|0,240,0.010820276
Ok Clock @ error|0 w|0,241,0.010820341
Ok Clock @ error|0 w|0,242,0.010820407
Ok Clock @ error|0 w|0,243,0.010820475
Ok Clock @ error|0 w|0,244,0.010820544
Ok Clock @ error|0 w|0,245,0.010820615
Ok Clock @ error|0 w|0,246,0.010820689
Ok Clock @ error|0 w|0,247,0.010820766
Ok Clock @ error|0 w|0,248,0.024627843
Ok Clock @ error|0 w|0,249,0.052241921
Ok Clock @ error|0 w|0,250,0.066049006
Ok Clock @ error|0 w|0,251,0.066049099
Ok Clock @ error|0 w|0,252,0.066049196
Ok Clock @ error|0 w|0,253,0.066049297
Ok Clock @ error|0 w|0,254,0.066049403
Ok Clock @ error|0 w|0,255,0.066049514
Ok Clock @ error|0 w|0,256,0.066049630
Ok Clock @ error|0 w|0,257,0.066049751
Ok Clock @ error|0 w|0,258,0.066049877
Ok Clock @ error|0 w|0,259,0.066050009
Ok Clock @ error|0 w|0,260,0.066050146
Ok Clock @ error|0 w|0,261,0.066050289
Ok Clock @ error|0 w|0,262,0.066050437
Ok Clock @ error|0 w|0,263,0.066050592
Ok Clock @ error|0 w|0,264,0.066050754
Ok Clock @ error|0 w|0,265,0.066050922
Ok Clock @ error|0 w|0,266,0.066051097
Ok Clock @ error|0 w|0,267,0.066051279
Ok Clock @ error|0 w|0,268,0.066051469
Ok Clock @ error|0 w|0,269,0.066051667
Ok Clock @ error|0 w|0,270,0.066051874
Ok Clock @ error|0 w|0,271,0.066052089
Ok Clock @ error|0 w|0,272,0.066052313
Ok Clock @ error|0 w|0,273,0.066052547
