initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,0,0.000000000
Ok Clock @ error|0 w|0,1,0.000000000
Ok Clock @ error|0 w|0,2,0.000000000
Ok Clock @ error|0 w|0,3,0.000000001
Ok Clock @ error|0 w|0,4,0.000000004
Ok Clock @ error|0 w|0,5,0.000000012
Ok Clock @ error|0 w|0,6,0.000000030
Ok Clock @ error|0 w|0,7,0.000000064
Ok Clock @ error|0 w|0,8,0.000000124
Ok Clock @ error|0 w|0,9,0.000000220
Ok Clock @ error|0 w|0,10,0.000000369
Ok Clock @ error|0 w|0,11,0.000000589
Ok Clock @ error|0 w|0,12,0.000000900
Ok Clock @ error|0 w|0,13,0.000001327
Ok Clock @ error|0 w|0,14,0.000001900
Ok Clock @ error|0 w|0,15,0.000002649
Ok Clock @ error|0 w|0,16,0.000003609
Ok Clock @ error|0 w|0,17,0.000004818
Ok Clock @ error|0 w|0,18,0.000006318
Ok Clock @ error|0 w|0,19,0.000008154
Ok Clock @ error|0 w|0,20,0.000010372
Ok Clock @ error|0 w|0,21,0.000013024
Ok Clock @ error|0 w|0,22,0.000016162
Ok Clock @ error|0 w|0,23,0.000019844
Ok Clock @ error|0 w|0,24,0.000024128
Ok Clock @ error|0 w|0,25,0.000029075
Ok Clock @ error|0 w|0,26,0.000034751
Ok Clock @ error|0 w|0,27,0.000041221
Ok Clock @ error|0 w|0,28,0.000048556
Ok Clock @ error|0 w|0,29,0.000056826
Ok Clock @ error|0 w|0,30,0.000066106
Ok Clock @ error|0 w|0,31,0.000076472
Ok Clock @ error|0 w|0,32,0.000088002
Ok Clock @ error|0 w|0,33,0.000100777
Ok Clock @ error|0 w|0,34,0.000114878
Ok Clock @ error|0 w|0,35,0.000130392
Ok Clock @ error|0 w|0,36,0.000147403
Ok Clock @ error|0 w|0,37,0.000166000
Ok Clock @ error|0 w|0,38,0.000186274
Ok Clock @ error|0 w|0,39,0.000208316
Ok Clock @ error|0 w|0,40,0.000232219
Ok Clock @ error|0 w|0,41,0.000258079
Ok Clock @ error|0 w|0,42,0.000285992
Ok Clock @ error|0 w|0,43,0.000316057
Ok Clock @ error|0 w|0,44,0.000348372
Ok Clock @ error|0 w|0,45,0.000383040
Ok Clock @ error|0 w|0,46,0.000420163
Ok Clock @ error|0 w|0,47,0.000459844
Ok Clock @ error|0 w|0,48,0.000502187
Ok Clock @ error|0 w|0,49,0.000547301
Ok Clock @ error|0 w|0,50,0.000595290
Ok Clock @ error|0 w|0,51,0.000646265
Ok Clock @ error|0 w|0,52,0.000700335
Ok Clock @ error|0 w|0,53,0.000757609
Ok Clock @ error|0 w|0,54,0.000818200
Ok Clock @ error|0 w|0,55,0.000882220
Ok Clock @ error|0 w|0,56,0.000949782
Ok Clock @ error|0 w|0,57,0.001021000
Ok Clock @ error|0 w|0,58,0.001095990
Ok Clock @ error|0 w|0,59,0.001174866
Ok Clock @ error|0 w|0,60,0.001257746
Ok Clock @ error|0 w|0,61,0.001344746
Ok Clock @ error|0 w|0,62,0.001435983
Ok Clock @ error|0 w|0,63,0.001531578
Ok Clock @ error|0 w|0,64,0.001631647
Ok Clock @ error|0 w|0,65,0.001736311
Ok Clock @ error|0 w|0,66,0.001845689
Ok Clock @ error|0 w|0,67,0.001959903
Ok Clock @ error|0 w|0,68,0.002079071
Ok Clock @ error|0 w|0,69,0.002203317
Ok Clock @ error|0 w|0,70,0.002332761
Ok Clock @ error|0 w|0,71,0.002467526
Ok Clock @ error|0 w|0,72,0.002607732
Ok Clock @ error|0 w|0,73,0.002753503
Ok Clock @ error|0 w|0,74,0.002904962
Ok Clock @ error|0 w|0,75,0.003062231
Ok Clock @ error|0 w|0,76,0.003225433
Ok Clock @ error|0 w|0,77,0.003394692
Ok Clock @ error|0 w|0,78,0.003570130
Ok Clock @ error|0 w|0,79,0.003751872
Ok Clock @ error|0 w|0,80,0.003940040
Ok Clock @ error|0 w|0,81,0.004134757
Ok Clock @ error|0 w|0,82,0.004336149
Ok Clock @ error|0 w|0,83,0.004544337
Ok Clock @ error|0 w|0,84,0.004759446
Ok Clock @ error|0 w|0,85,0.004981598
Ok Clock @ error|0 w|0,86,0.005210917
Ok Clock @ error|0 w|0,87,0.005447527
Ok Clock @ error|0 w|0,88,0.005691550
Ok Clock @ error|0 w|0,89,0.005943108
Ok Clock @ error|0 w|0,90,0.006202326
Ok Clock @ error|0 w|0,91,0.006469325
Ok Clock @ error|0 w|0,92,0.006744228
Ok Clock @ error|0 w|0,93,0.100589894
Ok Clock @ error|0 w|0,94,0.287989084
Ok Clock @ error|0 w|0,95,0.409867474
Ok Clock @ error|0 w|0,96,0.440811507
Ok Clock @ error|0 w|0,97,0.443658331
Ok Clock @ error|0 w|0,98,0.443820550
Ok Clock @ error|0 w|0,99,0.443955036
Ok Clock @ error|0 w|0,100,0.444063823
Ok Clock @ error|0 w|0,101,0.444150122
Ok Clock @ error|0 w|0,102,0.444217872
Ok Clock @ error|0 w|0,103,0.444271150
Ok Clock @ error|0 w|0,104,0.444313741
Ok Clock @ error|0 w|0,105,0.444348938
Ok Clock @ error|0 w|0,106,0.444379472
Ok Clock @ error|0 w|0,107,0.444407519
Ok Clock @ error|0 w|0,108,0.444434755
Ok Clock @ error|0 w|0,109,0.444462420
Ok Clock @ error|0 w|0,110,0.444491397
Ok Clock @ error|0 w|0,111,0.444522286
Ok Clock @ error|0 w|0,112,0.444555482
Ok Clock @ error|0 w|0,113,0.444591247
Ok Clock @ error|0 w|0,114,0.444629775
Ok Clock @ error|0 w|0,115,0.444671233
Ok Clock @ error|0 w|0,116,0.444715786
Ok Clock @ error|0 w|0,117,0.444763596
Ok Clock @ error|0 w|0,118,0.444814827
Ok Clock @ error|0 w|0,119,0.444869641
Ok Clock @ error|0 w|0,120,0.444928202
Ok Clock @ error|0 w|0,121,0.444990673
Ok Clock @ error|0 w|0,122,0.445057215
Ok Clock @ error|0 w|0,123,0.445127991
Ok Clock @ error|0 w|0,124,0.445203164
Ok Clock @ error|0 w|0,125,0.445282895
Ok Clock @ error|0 w|0,126,0.445367345
Ok Clock @ error|0 w|0,127,0.445456676
Ok Clock @ error|0 w|0,128,0.445551049
Ok Clock @ error|0 w|0,129,0.445650624
Ok Clock @ error|0 w|0,130,0.445755561
Ok Clock @ error|0 w|0,131,0.445866020
Ok Clock @ error|0 w|0,132,0.445982161
Ok Clock @ error|0 w|0,133,0.446104141
Ok Clock @ error|0 w|0,134,0.446232120
Ok Clock @ error|0 w|0,135,0.446366255
Ok Clock @ error|0 w|0,136,0.446506703
Ok Clock @ error|0 w|0,137,0.446653622
Ok Clock @ error|0 w|0,138,0.446807168
Ok Clock @ error|0 w|0,139,0.446967495
Ok Clock @ error|0 w|0,140,0.447134761
Ok Clock @ error|0 w|0,141,0.447309118
Ok Clock @ error|0 w|0,142,0.447490721
Ok Clock @ error|0 w|0,143,0.447679723
Ok Clock @ error|0 w|0,144,0.447876277
Ok Clock @ error|0 w|0,145,0.448080534
Ok Clock @ error|0 w|0,146,0.448292647
Ok Clock @ error|0 w|0,147,0.448512765
Ok Clock @ error|0 w|0,148,0.448741038
Ok Clock @ error|0 w|0,149,0.448977616
Ok Clock @ error|0 w|0,150,0.449222647
Ok Clock @ error|0 w|0,151,0.536103753
Ok Clock @ error|0 w|0,152,0.709607280
Ok Clock @ error|0 w|0,153,0.822452375
Ok Clock @ error|0 w|0,154,0.851109333
Ok Clock @ error|0 w|0,155,0.853757645
Ok Clock @ error|0 w|0,156,0.853926071
Ok Clock @ error|0 w|0,157,0.854074346
Ok Clock @ error|0 w|0,158,0.854204003
Ok Clock @ error|0 w|0,159,0.854317522
Ok Clock @ error|0 w|0,160,0.854417980
Ok Clock @ error|0 w|0,161,0.854508580
Ok Clock @ error|0 w|0,162,0.854592311
Ok Clock @ error|0 w|0,163,0.854671789
Ok Clock @ error|0 w|0,164,0.854749195
Ok Clock @ error|0 w|0,165,0.854826284
Ok Clock @ error|0 w|0,166,0.854904417
Ok Clock @ error|0 w|0,167,0.854984619
Ok Clock @ error|0 w|0,168,0.855067635
Ok Clock @ error|0 w|0,169,0.855153984
Ok Clock @ error|0 w|0,170,0.855244027
Ok Clock @ error|0 w|0,171,0.855338020
Ok Clock @ error|0 w|0,172,0.855436163
Ok Clock @ error|0 w|0,173,0.855538637
Ok Clock @ error|0 w|0,174,0.855645616
Ok Clock @ error|0 w|0,175,0.855757277
Ok Clock @ error|0 w|0,176,0.855873794
Ok Clock @ error|0 w|0,177,0.855995342
Ok Clock @ error|0 w|0,178,0.856122095
Ok Clock @ error|0 w|0,179,0.856254225
Ok Clock @ error|0 w|0,180,0.856391906
Ok Clock @ error|0 w|0,181,0.856535310
Ok Clock @ error|0 w|0,182,0.856684608
Ok Clock @ error|0 w|0,183,0.856839972
Ok Clock @ error|0 w|0,184,0.857001571
Ok Clock @ error|0 w|0,185,0.857169575
Ok Clock @ error|0 w|0,186,0.857344153
Ok Clock @ error|0 w|0,187,0.857525473
Ok Clock @ error|0 w|0,188,0.869969278
Ok Clock @ error|0 w|0,189,0.899428837
Ok Clock @ error|0 w|0,190,0.925563625
Ok Clock @ error|0 w|0,191,0.936959674
Ok Clock @ error|0 w|0,192,0.939711061
Ok Clock @ error|0 w|0,193,0.940204960
Ok Clock @ error|0 w|0,194,0.940414434
Ok Clock @ error|0 w|0,195,0.940609492
Ok Clock @ error|0 w|0,196,0.940804678
Ok Clock @ error|0 w|0,197,0.941000804
Ok Clock @ error|0 w|0,198,0.941198897
Ok Clock @ error|0 w|0,199,0.941400034
Ok Clock @ error|0 w|0,200,0.941605236
Ok Clock @ error|0 w|0,201,0.941815419
Ok Clock @ error|0 w|0,202,0.942031371
Ok Clock @ error|0 w|0,203,0.942253751
Ok Clock @ error|0 w|0,204,0.942483103
Ok Clock @ error|0 w|0,205,0.942719861
Ok Clock @ error|0 w|0,206,0.942964372
Ok Clock @ error|0 w|0,207,0.943216904
Ok Clock @ error|0 w|0,208,0.943477676
Ok Clock @ error|0 w|0,209,0.943746867
Ok Clock @ error|0 w|0,210,0.944024645
Ok Clock @ error|0 w|0,211,0.944311171
Ok Clock @ error|0 w|0,212,0.944606603
Ok Clock @ error|0 w|0,213,1.026117357
Ok Clock @ error|0 w|0,214,1.188829561
Ok Clock @ error|0 w|0,215,1.294671612
Ok Clock @ error|0 w|0,216,1.321592353
Ok Clock @ error|0 w|0,217,1.324137658
Ok Clock @ error|0 w|0,218,1.324357897
Ok Clock @ error|0 w|0,219,1.324558370
Ok Clock @ error|0 w|0,220,1.324740714
Ok Clock @ error|0 w|0,221,1.324907523
Ok Clock @ error|0 w|0,222,1.325061989
Ok Clock @ error|0 w|0,223,1.325207418
Ok Clock @ error|0 w|0,224,1.325346892
Ok Clock @ error|0 w|0,225,1.325483101
Ok Clock @ error|0 w|0,226,1.325618289
Ok Clock @ error|0 w|0,227,1.325754253
Ok Clock @ error|0 w|0,228,1.325892392
Ok Clock @ error|0 w|0,229,1.326033755
Ok Clock @ error|0 w|0,230,1.326179103
Ok Clock @ error|0 w|0,231,1.326328971
Ok Clock @ error|0 w|0,232,1.326483725
Ok Clock @ error|0 w|0,233,1.326643629
Ok Clock @ error|0 w|0,234,1.326808887
Ok Clock @ error|0 w|0,235,1.326979683
Ok Clock @ error|0 w|0,236,1.327156197
Ok Clock @ error|0 w|0,237,1.327338608
Ok Clock @ error|0 w|0,238,1.327527096
Ok Clock @ error|0 w|0,239,1.327721837
Ok Clock @ error|0 w|0,240,1.327923008
Ok Clock @ error|0 w|0,241,1.328130788
Ok Clock @ error|0 w|0,242,1.328345350
Ok Clock @ error|0 w|0,243,1.328566870
Ok Clock @ error|0 w|0,244,1.328795523
Ok Clock @ error|0 w|0,245,1.329031482
Ok Clock @ error|0 w|0,246,1.351969217
Ok Clock @ error|0 w|0,247,1.406410749
Ok Clock @ error|0 w|0,248,1.454690713
Ok Clock @ error|0 w|0,249,1.475673309
Ok Clock @ error|0 w|0,250,1.480643196
Ok Clock @ error|0 w|0,251,1.481427728
Ok Clock @ error|0 w|0,252,1.481680413
Ok Clock @ error|0 w|0,253,1.481901093
Ok Clock @ error|0 w|0,254,1.482116504
Ok Clock @ error|0 w|0,255,1.482327905
Ok Clock @ error|0 w|0,256,1.482536927
Ok Clock @ error|0 w|0,257,1.482745293
Ok Clock @ error|0 w|0,258,1.482954638
Ok Clock @ error|0 w|0,259,1.483166415
Ok Clock @ error|0 w|0,260,1.483381865
Ok Clock @ error|0 w|0,261,1.483602011
Ok Clock @ error|0 w|0,262,1.483827676
Ok Clock @ error|0 w|0,263,1.484059504
Ok Clock @ error|0 w|0,264,1.484297982
Ok Clock @ error|0 w|0,265,1.484543472
Ok Clock @ error|0 w|0,266,1.484796241
Ok Clock @ error|0 w|0,267,1.485056502
Ok Clock @ error|0 w|0,268,1.485324439
Ok Clock @ error|0 w|0,269,1.485600227
Ok Clock @ error|0 w|0,270,1.485884041
Ok Clock @ error|0 w|0,271,1.486176053
Ok Clock @ error|0 w|0,272,1.486476435
Ok Clock @ error|0 w|0,273,1.486785357
