initialRegeneration,time,Ko
Ok Clock @ error|0 w|0,0,0.000000000
Ok Clock @ error|0 w|0,1,0.000000000
Ok Clock @ error|0 w|0,2,0.000000000
Ok Clock @ error|0 w|0,3,0.000000002
Ok Clock @ error|0 w|0,4,0.000000005
Ok Clock @ error|0 w|0,5,0.000000012
Ok Clock @ error|0 w|0,6,0.000000024
Ok Clock @ error|0 w|0,7,0.000000044
Ok Clock @ error|0 w|0,8,0.000000075
Ok Clock @ error|0 w|0,9,0.000000120
Ok Clock @ error|0 w|0,10,0.000000181
Ok Clock @ error|0 w|0,11,0.000000264
Ok Clock @ error|0 w|0,12,0.000000373
Ok Clock @ error|0 w|0,13,0.000000511
Ok Clock @ error|0 w|0,14,0.000000684
Ok Clock @ error|0 w|0,15,0.000000897
Ok Clock @ error|0 w|0,16,0.000001156
Ok Clock @ error|0 w|0,17,0.000001466
Ok Clock @ error|0 w|0,18,0.000001834
Ok Clock @ error|0 w|0,19,0.000002266
Ok Clock @ error|0 w|0,20,0.000002769
Ok Clock @ error|0 w|0,21,0.000003350
Ok Clock @ error|0 w|0,22,0.000004017
Ok Clock @ error|0 w|0,23,0.000004776
Ok Clock @ error|0 w|0,24,0.000005635
Ok Clock @ error|0 w|0,25,0.000006604
Ok Clock @ error|0 w|0,26,0.000007689
Ok Clock @ error|0 w|0,27,0.000008901
Ok Clock @ error|0 w|0,28,0.000010246
Ok Clock @ error|0 w|0,29,0.000011735
Ok Clock @ error|0 w|0,30,0.000013377
Ok Clock @ error|0 w|0,31,0.000015180
Ok Clock @ error|0 w|0,32,0.000017156
Ok Clock @ error|0 w|0,33,0.000019312
Ok Clock @ error|0 w|0,34,0.000021660
Ok Clock @ error|0 w|0,35,0.000024210
Ok Clock @ error|0 w|0,36,0.000026972
Ok Clock @ error|0 w|0,37,0.000029956
Ok Clock @ error|0 w|0,38,0.000033173
Ok Clock @ error|0 w|0,39,0.000036635
Ok Clock @ error|0 w|0,40,0.000040351
Ok Clock @ error|0 w|0,41,0.000044334
Ok Clock @ error|0 w|0,42,0.000048594
Ok Clock @ error|0 w|0,43,0.000053143
Ok Clock @ error|0 w|0,44,0.000057992
Ok Clock @ error|0 w|0,45,0.000063154
Ok Clock @ error|0 w|0,46,0.000068639
Ok Clock @ error|0 w|0,47,0.000074460
Ok Clock @ error|0 w|0,48,0.000080629
Ok Clock @ error|0 w|0,49,0.000087157
Ok Clock @ error|0 w|0,50,0.000094058
Ok Clock @ error|0 w|0,51,0.000101343
Ok Clock @ error|0 w|0,52,0.000109025
Ok Clock @ error|0 w|0,53,0.000117116
Ok Clock @ error|0 w|0,54,0.000125628
Ok Clock @ error|0 w|0,55,0.000134576
Ok Clock @ error|0 w|0,56,0.000143970
Ok Clock @ error|0 w|0,57,0.000153824
Ok Clock @ error|0 w|0,58,0.000164151
Ok Clock @ error|0 w|0,59,0.000174964
Ok Clock @ error|0 w|0,60,0.000186275
Ok Clock @ error|0 w|0,61,0.000198098
Ok Clock @ error|0 w|0,62,0.000210446
Ok Clock @ error|0 w|0,63,0.000223332
Ok Clock @ error|0 w|0,64,0.000236768
Ok Clock @ error|0 w|0,65,0.000250769
Ok Clock @ error|0 w|0,66,0.000265347
Ok Clock @ error|0 w|0,67,0.000280515
Ok Clock @ error|0 w|0,68,0.000296288
Ok Clock @ error|0 w|0,69,0.000312677
Ok Clock @ error|0 w|0,70,0.000329698
Ok Clock @ error|0 w|0,71,0.000347362
Ok Clock @ error|0 w|0,72,0.000365683
Ok Clock @ error|0 w|0,73,0.000384675
Ok Clock @ error|0 w|0,74,0.000404350
Ok Clock @ error|0 w|0,75,0.000424724
Ok Clock @ error|0 w|0,76,0.000445807
Ok Clock @ error|0 w|0,77,0.000467615
Ok Clock @ error|0 w|0,78,0.000490161
Ok Clock @ error|0 w|0,79,0.000513457
Ok Clock @ error|0 w|0,80,0.000537518
Ok Clock @ error|0 w|0,81,0.000562356
Ok Clock @ error|0 w|0,82,0.000587985
Ok Clock @ error|0 w|0,83,0.000614418
Ok Clock @ error|0 w|0,84,0.000641669
Ok Clock @ error|0 w|0,85,0.000669751
Ok Clock @ error|0 w|0,86,0.000698677
Ok Clock @ error|0 w|0,87,0.000728461
Ok Clock @ error|0 w|0,88,0.000759115
Ok Clock @ error|0 w|0,89,0.000790653
Ok Clock @ error|0 w|0,90,0.000823088
Ok Clock @ error|0 w|0,91,0.000856433
Ok Clock @ error|0 w|0,92,0.000890702
Ok Clock @ error|0 w|0,93,0.000925906
Ok Clock @ error|0 w|0,94,0.000927334
Ok Clock @ error|0 w|0,95,0.000928816
Ok Clock @ error|0 w|0,96,0.000930371
Ok Clock @ error|0 w|0,97,0.000932016
Ok Clock @ error|0 w|0,98,0.000933769
Ok Clock @ error|0 w|0,99,0.000935647
Ok Clock @ error|0 w|0,100,0.000937667
Ok Clock @ error|0 w|0,101,0.000939847
Ok Clock @ error|0 w|0,102,0.000942205
Ok Clock @ error|0 w|0,103,0.000944759
Ok Clock @ error|0 w|0,104,0.000947525
Ok Clock @ error|0 w|0,105,0.000950522
Ok Clock @ error|0 w|0,106,0.000953767
Ok Clock @ error|0 w|0,107,0.000957277
Ok Clock @ error|0 w|0,108,0.000961071
Ok Clock @ error|0 w|0,109,0.000965165
Ok Clock @ error|0 w|0,110,0.000969577
Ok Clock @ error|0 w|0,111,0.000974324
Ok Clock @ error|0 w|0,112,0.000979425
Ok Clock @ error|0 w|0,113,0.000984896
Ok Clock @ error|0 w|0,114,0.000990755
Ok Clock @ error|0 w|0,115,0.000997020
Ok Clock @ error|0 w|0,116,0.001003706
Ok Clock @ error|0 w|0,117,0.001010833
Ok Clock @ error|0 w|0,118,0.001018417
Ok Clock @ error|0 w|0,119,0.001026476
Ok Clock @ error|0 w|0,120,0.001035026
Ok Clock @ error|0 w|0,121,0.001044085
Ok Clock @ error|0 w|0,122,0.001053669
Ok Clock @ error|0 w|0,123,0.001063797
Ok Clock @ error|0 w|0,124,0.001074484
Ok Clock @ error|0 w|0,125,0.001085749
Ok Clock @ error|0 w|0,126,0.001097606
Ok Clock @ error|0 w|0,127,0.001110075
Ok Clock @ error|0 w|0,128,0.001123171
Ok Clock @ error|0 w|0,129,0.001136910
Ok Clock @ error|0 w|0,130,0.001151311
Ok Clock @ error|0 w|0,131,0.001166388
Ok Clock @ error|0 w|0,132,0.001182160
Ok Clock @ error|0 w|0,133,0.001198641
Ok Clock @ error|0 w|0,134,0.001215849
Ok Clock @ error|0 w|0,135,0.001233800
Ok Clock @ error|0 w|0,136,0.001252510
Ok Clock @ error|0 w|0,137,0.001271996
Ok Clock @ error|0 w|0,138,0.001292272
Ok Clock @ error|0 w|0,139,0.001313356
Ok Clock @ error|0 w|0,140,0.001335263
Ok Clock @ error|0 w|0,141,0.001358010
Ok Clock @ error|0 w|0,142,0.001381611
Ok Clock @ error|0 w|0,143,0.001406082
Ok Clock @ error|0 w|0,144,0.001431440
Ok Clock @ error|0 w|0,145,0.001457700
Ok Clock @ error|0 w|0,146,0.001484876
Ok Clock @ error|0 w|0,147,0.001512985
Ok Clock @ error|0 w|0,148,0.001542041
Ok Clock @ error|0 w|0,149,0.001572061
Ok Clock @ error|0 w|0,150,0.001603058
Ok Clock @ error|0 w|0,151,0.001635048
Ok Clock @ error|0 w|0,152,0.001640447
Ok Clock @ error|0 w|0,153,0.001646007
Ok Clock @ error|0 w|0,154,0.001651746
Ok Clock @ error|0 w|0,155,0.001657683
Ok Clock @ error|0 w|0,156,0.001663838
Ok Clock @ error|0 w|0,157,0.001670228
Ok Clock @ error|0 w|0,158,0.001676874
Ok Clock @ error|0 w|0,159,0.001683794
Ok Clock @ error|0 w|0,160,0.001691006
Ok Clock @ error|0 w|0,161,0.001698529
Ok Clock @ error|0 w|0,162,0.001706383
Ok Clock @ error|0 w|0,163,0.001714584
Ok Clock @ error|0 w|0,164,0.001723153
Ok Clock @ error|0 w|0,165,0.001732107
Ok Clock @ error|0 w|0,166,0.001741465
Ok Clock @ error|0 w|0,167,0.001751246
Ok Clock @ error|0 w|0,168,0.001761467
Ok Clock @ error|0 w|0,169,0.001772146
Ok Clock @ error|0 w|0,170,0.001783303
Ok Clock @ error|0 w|0,171,0.001794955
Ok Clock @ error|0 w|0,172,0.001807120
Ok Clock @ error|0 w|0,173,0.001819816
Ok Clock @ error|0 w|0,174,0.001833061
Ok Clock @ error|0 w|0,175,0.001846873
Ok Clock @ error|0 w|0,176,0.001861270
Ok Clock @ error|0 w|0,177,0.001876268
Ok Clock @ error|0 w|0,178,0.001891887
Ok Clock @ error|0 w|0,179,0.001908143
Ok Clock @ error|0 w|0,180,0.001925053
Ok Clock @ error|0 w|0,181,0.001942636
Ok Clock @ error|0 w|0,182,0.001960908
Ok Clock @ error|0 w|0,183,0.001979887
Ok Clock @ error|0 w|0,184,0.001999589
Ok Clock @ error|0 w|0,185,0.002020031
Ok Clock @ error|0 w|0,186,0.002041232
Ok Clock @ error|0 w|0,187,0.002063206
Ok Clock @ error|0 w|0,188,0.002085972
Ok Clock @ error|0 w|0,189,0.002104996
Ok Clock @ error|0 w|0,190,0.002122961
Ok Clock @ error|0 w|0,191,0.002141417
Ok Clock @ error|0 w|0,192,0.002160563
Ok Clock @ error|0 w|0,193,0.002180413
Ok Clock @ error|0 w|0,194,0.002200987
Ok Clock @ error|0 w|0,195,0.002222300
Ok Clock @ error|0 w|0,196,0.002244370
Ok Clock @ error|0 w|0,197,0.002267213
Ok Clock @ error|0 w|0,198,0.002290845
Ok Clock @ error|0 w|0,199,0.002315285
Ok Clock @ error|0 w|0,200,0.002340547
Ok Clock @ error|0 w|0,201,0.002366648
Ok Clock @ error|0 w|0,202,0.002393605
Ok Clock @ error|0 w|0,203,0.002421434
Ok Clock @ error|0 w|0,204,0.002450151
Ok Clock @ error|0 w|0,205,0.002479772
Ok Clock @ error|0 w|0,206,0.002510312
Ok Clock @ error|0 w|0,207,0.002541788
Ok Clock @ error|0 w|0,208,0.002574215
Ok Clock @ error|0 w|0,209,0.002607609
Ok Clock @ error|0 w|0,210,0.002641985
Ok Clock @ error|0 w|0,211,0.002677359
Ok Clock @ error|0 w|0,212,0.002713746
Ok Clock @ error|0 w|0,213,0.002751161
Ok Clock @ error|0 w|0,214,0.002761565
Ok Clock @ error|0 w|0,215,0.002772230
Ok Clock @ error|0 w|0,216,0.002783174
Ok Clock @ error|0 w|0,217,0.002794417
Ok Clock @ error|0 w|0,218,0.002805977
Ok Clock @ error|0 w|0,219,0.002817873
Ok Clock @ error|0 w|0,220,0.002830123
Ok Clock @ error|0 w|0,221,0.002842746
Ok Clock @ error|0 w|0,222,0.002855761
Ok Clock @ error|0 w|0,223,0.002869185
Ok Clock @ error|0 w|0,224,0.002883038
Ok Clock @ error|0 w|0,225,0.002897337
Ok Clock @ error|0 w|0,226,0.002912100
Ok Clock @ error|0 w|0,227,0.002927347
Ok Clock @ error|0 w|0,228,0.002943094
Ok Clock @ error|0 w|0,229,0.002959360
Ok Clock @ error|0 w|0,230,0.002976164
Ok Clock @ error|0 w|0,231,0.002993522
Ok Clock @ error|0 w|0,232,0.003011452
Ok Clock @ error|0 w|0,233,0.003029973
Ok Clock @ error|0 w|0,234,0.003049102
Ok Clock @ error|0 w|0,235,0.003068856
Ok Clock @ error|0 w|0,236,0.003089253
Ok Clock @ error|0 w|0,237,0.003110310
Ok Clock @ error|0 w|0,238,0.003132045
Ok Clock @ error|0 w|0,239,0.003154475
Ok Clock @ error|0 w|0,240,0.003177616
Ok Clock @ error|0 w|0,241,0.003201486
Ok Clock @ error|0 w|0,242,0.003226103
Ok Clock @ error|0 w|0,243,0.003251481
Ok Clock @ error|0 w|0,244,0.003277640
Ok Clock @ error|0 w|0,245,0.003304594
Ok Clock @ error|0 w|0,246,0.003332361
Ok Clock @ error|0 w|0,247,0.003353131
Ok Clock @ error|0 w|0,248,0.003371486
Ok Clock @ error|0 w|0,249,0.003390077
Ok Clock @ error|0 w|0,250,0.003409230
Ok Clock @ error|0 w|0,251,0.003428963
Ok Clock @ error|0 w|0,252,0.003449293
Ok Clock @ error|0 w|0,253,0.003470238
Ok Clock @ error|0 w|0,254,0.003491815
Ok Clock @ error|0 w|0,255,0.003514043
Ok Clock @ error|0 w|0,256,0.003536937
Ok Clock @ error|0 w|0,257,0.003560515
Ok Clock @ error|0 w|0,258,0.003584794
Ok Clock @ error|0 w|0,259,0.003609792
Ok Clock @ error|0 w|0,260,0.003635525
Ok Clock @ error|0 w|0,261,0.003662010
Ok Clock @ error|0 w|0,262,0.003689264
Ok Clock @ error|0 w|0,263,0.003717303
Ok Clock @ error|0 w|0,264,0.003746144
Ok Clock @ error|0 w|0,265,0.003775804
Ok Clock @ error|0 w|0,266,0.003806298
Ok Clock @ error|0 w|0,267,0.003837644
Ok Clock @ error|0 w|0,268,0.003869856
Ok Clock @ error|0 w|0,269,0.003902952
Ok Clock @ error|0 w|0,270,0.003936948
Ok Clock @ error|0 w|0,271,0.003971858
Ok Clock @ error|0 w|0,272,0.004007699
Ok Clock @ error|0 w|0,273,0.004044487
Ok Clock @ error|0 w|0,274,0.004082237
