P&R, TESTS, If(Ko+Detected>0 || Rej>0,1,0), If(Ok>0 && Rej>0,1,0), Ko
90, 1, 0.012460475797439881086759032273213964388, 0.007897411509815054441317070112521106000, 0.000021365337619921928429980186035992288
90, 2, 0.009843646732873988743024186673201644091, 0.004633697430205886797237133088057244000, 0.000036142534712743339210289587354170491
90, 3, 0.008086848589876335698249028078111406799, 0.002450793443983629929272377124856887000, 0.000092563718390874149138166587798985899
90, 4, 0.0070723707961432513432920296950010865220, 0.0011656237425950313278734619430910740000, 0.0002155842534433134642035512096830593220
90, 5, 0.00658558727645020238704866676155200607163, 0.00053011997198058864304581207127361820000, 0.00033379090648896805551475240926892787163
90, 6, 0.006331097982049141343213217428944988515430, 0.000211028513076187938271242341611510400000, 0.000434807467582791996737732670241936115430
90, 7, 0.006256065592215237202112542630614289723630, 0.000105779788874732722348244385220370600000, 0.000524726833610919839609789140417896123630
90, 8, 0.0062344222640772876000168689849832722523500, 0.0000914507050601330057958003476378195100000, 0.0005925507278616703382752669307803257423500
95, 1, 0.011783570965067881148228958046936135457, 0.007060002739597310807740001579905400000, 0.000021313079091042634504221062333865827
95, 2, 0.009290849000317097401409177314726129252, 0.003908793414298909488667947860509893000, 0.000047127803653333390214584474110571252
95, 3, 0.007885862006465938876070032765997619190, 0.002074031684187713285022905850371530000, 0.000123559532981453079135088797169938090
95, 4, 0.0071268431369656755829888530669447859725, 0.0010705697524758772337731731936373700000, 0.0001959026648356186254548275979954313725
95, 5, 0.0066938373208343971162388495533652002211, 0.0005008185514102957877816394050050832000, 0.0002693134257605440705612767661794941211
95, 6, 0.0064426694699559295191957805870679173366, 0.0001958841930072188808606668326213197000, 0.0003312347661530741900974716320376366366
95, 7, 0.006368267062069816739831253770733003441190, 0.000112876575187111011209776145110176500000, 0.000384894736443135323144199655827915941190
95, 8, 0.0063479318521180821879239501350615776770500, 0.0001051176502068801967871617067533132000000, 0.0004335938459058506415089047255533384770500
99, 1, 0.011283126346737103691134718592641663132, 0.006439432749596801588578299659158213000, 0.000021295530752636902666107339243690632
99, 2, 0.009089551927735586524129497720042040139, 0.003569481130783516271899858130392603000, 0.000055394642231473405840109238138087439
99, 3, 0.007954491673357674620070702054696266286, 0.002018421824761155296348840750053388000, 0.000079650445038477723185917384973262186
99, 4, 0.0072763137598806510489231465540679744700, 0.0010818840418949753118080783150038450000, 0.0001003828428492006495213818450025685700
99, 5, 0.006849672390246036856907752119183536788000, 0.000508987218912735251537929234960860100000, 0.000120692841699323387311873980135125988000
99, 6, 0.00658192627467690445735156208541232184200000, 0.00017888575213339293746356460746890220000000, 0.00014351657126677822991077619428603334200000
99, 7, 0.0065447416663510236379851964309700033137000000, 0.0001301886815996056773880296895028404000000000, 0.0001601405489612314113260936045534276137000000
99, 8, 0.006536378207087581673612928333917498357740000000, 0.000128301477060982400946193640742243900000000000, 0.000176760112401813317389056970140088657740000000

P&R, TESTS, build, steady_state
90, 1, 3.491208208s,0.286448209s
90, 2, 8.320662583s,0.258202167s
90, 3, 42.010838667s,0.208110208s
90, 4, 113.275726417s,0.175732334s
90, 5, 329.287035375s,0.308681917s
90, 6, 930.911310542s,0.66898325s
90, 7, 2502.619056084s,1.948195958s
90, 8, 6246.446433s,6.070392958s
95, 1, 1.882436167s,0.036809334s
95, 2, 8.09631825s,0.013437291s
95, 3, 31.418405958s,0.044285167s
95, 4, 100.0216565s,0.074239833s
95, 5, 297.259992209s,0.182360791s
95, 6, 813.807958667s,0.488138167s
95, 7, 2062.963725083s,1.529427084s
95, 8, 4983.363716541s,4.783273459s
99, 1, 1.832118083s,0.005986292s
99, 2, 8.0926775s,0.019609166s
99, 3, 30.21624025s,0.036370583s
99, 4, 92.692233875s,0.061872083s
99, 5, 259.01959s,0.188868s
99, 6, 679.426868083s,0.382502042s
99, 7, 1693.046027791s,1.185071458s
99, 8, 4057.06531575s,4.267979625s
