period,unavailability,undetectedFailure,useless,averageReward
30.000,0.047721741,0.000118088,0.047150883,0.023919914
60.000,0.025721931,0.000245520,0.024595579,0.012983726
90.000,0.018379466,0.000361377,0.016750100,0.009370421
120.000,0.014808985,0.000466565,0.012723416,0.007637775
150.000,0.012753266,0.000562243,0.010252932,0.006657754
180.000,0.011449907,0.000649463,0.008571563,0.006049685
210.000,0.010570595,0.000729149,0.007346940,0.005649872
240.000,0.009951211,0.000802108,0.006411430,0.005376659
270.000,0.009500949,0.000869040,0.005671173,0.005184994
300.000,0.009165725,0.000930559,0.005069418,0.005048142
330.000,0.008911478,0.000987205,0.004569765,0.004949341
360.000,0.008715798,0.001039450,0.004147748,0.004877624
390.000,0.008563413,0.001087713,0.003786282,0.004825563
420.000,0.008443616,0.001132365,0.003473052,0.004787991
450.000,0.008348718,0.001173735,0.003198940,0.004761226
480.000,0.008273083,0.001212116,0.002957041,0.004742599
510.000,0.008212512,0.001247771,0.002742020,0.004730142
540.000,0.008163830,0.001280933,0.002549683,0.004722382
570.000,0.008124603,0.001311815,0.002376684,0.004718209
600.000,0.008092947,0.001340604,0.002220317,0.004716776
630.000,0.008067388,0.001367473,0.002078368,0.004717431
660.000,0.008046763,0.001392576,0.001949005,0.004719669
690.000,0.008030147,0.001416052,0.001830699,0.004723100
720.000,0.008016803,0.001438028,0.001722160,0.004727415
750.000,0.008006133,0.001458619,0.001622294,0.004732376
780.000,0.007997656,0.001477931,0.001530166,0.004737794
810.000,0.007990981,0.001496058,0.001444971,0.004743520
840.000,0.007985788,0.001513087,0.001366012,0.004749438
870.000,0.007981814,0.001529099,0.001292681,0.004755457
900.000,0.007978844,0.001544166,0.001224448,0.004761505
930.000,0.007976700,0.001558354,0.001160846,0.004767527
960.000,0.007975236,0.001571725,0.001101462,0.004773480
990.000,0.007974329,0.001584336,0.001045932,0.004779332
1020.000,0.007973878,0.001596237,0.000993930,0.004785057
1050.000,0.007973799,0.001607476,0.000945167,0.004790638
1080.000,0.007974023,0.001618098,0.000899381,0.004796061
1110.000,0.007974491,0.001628142,0.000856341,0.004801317
1140.000,0.007975155,0.001637647,0.000815835,0.004806401
1170.000,0.007975974,0.001646646,0.000777674,0.004811310
1200.000,0.007976914,0.001655172,0.000741685,0.004816043
1230.000,0.007977948,0.001663253,0.000707712,0.004820601
1260.000,0.007979051,0.001670918,0.000675613,0.004824985
1290.000,0.007980205,0.001678192,0.000645259,0.004829199
1320.000,0.007981394,0.001685099,0.000616531,0.004833247
1350.000,0.007982604,0.001691660,0.000589321,0.004837132
