period,unavailability,undetectedFailure,useless,averageReward
30.000,0.046317862,0.000000718,0.046314281,0.023159290
60.000,0.024117519,0.000005580,0.024091534,0.012061549
90.000,0.016592891,0.000017058,0.016515253,0.008304975
120.000,0.012851735,0.000036060,0.012689475,0.006443897
150.000,0.010644009,0.000062525,0.010364566,0.005353267
180.000,0.009212324,0.000095841,0.008785909,0.004654083
210.000,0.008230474,0.000135106,0.007631280,0.004182790
240.000,0.007534315,0.000179306,0.006740983,0.003856811
270.000,0.007031659,0.000227424,0.006027274,0.003629541
300.000,0.006666270,0.000278501,0.005438098,0.003472385
330.000,0.006401573,0.000331670,0.004940647,0.003366621
360.000,0.006212548,0.000386173,0.004513203,0.003299360
390.000,0.006081385,0.000441358,0.004140780,0.003261371
420.000,0.005995000,0.000496677,0.003812666,0.003245839
450.000,0.005943544,0.000551680,0.003520968,0.003247612
480.000,0.005919456,0.000605999,0.003259712,0.003262728
510.000,0.005916846,0.000659342,0.003024269,0.003288094
540.000,0.005931070,0.000711479,0.002810985,0.003321275
570.000,0.005958434,0.000762236,0.002616917,0.003360335
600.000,0.005995978,0.000811484,0.002439660,0.003403731
630.000,0.006041320,0.000859130,0.002277224,0.003450225
660.000,0.006092535,0.000905116,0.002127940,0.003498825
690.000,0.006148064,0.000949405,0.001990394,0.003548735
720.000,0.006206641,0.000991985,0.001863378,0.003599313
750.000,0.006267241,0.001032856,0.001745848,0.003650049
780.000,0.006329031,0.001072037,0.001636901,0.003700534
810.000,0.006391339,0.001109551,0.001535746,0.003750445
840.000,0.006453621,0.001145435,0.001441686,0.003799528
870.000,0.006515442,0.001179729,0.001354108,0.003847585
900.000,0.006576455,0.001212477,0.001272466,0.003894466
930.000,0.006636385,0.001243728,0.001196273,0.003940056
960.000,0.006695019,0.001273532,0.001125093,0.003984275
990.000,0.006752191,0.001301941,0.001058534,0.004027066
1020.000,0.006807777,0.001329008,0.000996244,0.004068393
1050.000,0.006861689,0.001354785,0.000937903,0.004108237
1080.000,0.006913864,0.001379324,0.000883221,0.004146594
1110.000,0.006964264,0.001402677,0.000831935,0.004183470
1140.000,0.007012868,0.001424893,0.000783804,0.004218881
1170.000,0.007059674,0.001446023,0.000738609,0.004252848
1200.000,0.007104687,0.001466115,0.000696148,0.004285401
1230.000,0.007147929,0.001485214,0.000656238,0.004316571
1260.000,0.007189424,0.001503365,0.000618709,0.004346394
1290.000,0.007229206,0.001520613,0.000583404,0.004374909
1320.000,0.007267313,0.001536999,0.000550179,0.004402156
1350.000,0.007303788,0.001552563,0.000518902,0.004428175
1380.000,0.007338676,0.001567344,0.000489448,0.004453010
1410.000,0.007372024,0.001581378,0.000461704,0.004476701
1440.000,0.007403881,0.001594702,0.000435563,0.004499292
1470.000,0.007434297,0.001607350,0.000410928,0.004520823
1500.000,0.007463322,0.001619354,0.000387705,0.004541338
1530.000,0.007491007,0.001630744,0.000365811,0.004560876
1560.000,0.007517401,0.001641552,0.000345165,0.004579477
1590.000,0.007542555,0.001651805,0.000325692,0.004597180
1620.000,0.007566517,0.001661531,0.000307325,0.004614024
