initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ waitClock|0,0.0,0.000000000
Up Clock @ waitClock|0,0.1,0.000000001
Up Clock @ waitClock|0,0.2,0.000000007
Up Clock @ waitClock|0,0.3,0.000000023
Up Clock @ waitClock|0,0.4,0.000000052
Up Clock @ waitClock|0,0.5,0.000000099
Up Clock @ waitClock|0,0.6,0.000000172
Up Clock @ waitClock|0,0.7,0.000000277
Up Clock @ waitClock|0,0.8,0.000000417
Up Clock @ waitClock|0,0.9,0.000000596
Up Clock @ waitClock|0,1.0,0.000000819
Up Clock @ waitClock|0,1.1,0.000001092
Up Clock @ waitClock|0,1.2,0.000001418
Up Clock @ waitClock|0,1.3,0.000001802
Up Clock @ waitClock|0,1.4,0.000002250
Up Clock @ waitClock|0,1.5,0.000002766
Up Clock @ waitClock|0,1.6,0.000003355
Up Clock @ waitClock|0,1.7,0.000004020
Up Clock @ waitClock|0,1.8,0.000004768
Up Clock @ waitClock|0,1.9,0.000005602
Up Clock @ waitClock|0,2.0,0.000006527
Up Clock @ waitClock|0,2.1,0.000007547
Up Clock @ waitClock|0,2.2,0.000008666
Up Clock @ waitClock|0,2.3,0.000009890
Up Clock @ waitClock|0,2.4,0.000011223
Up Clock @ waitClock|0,2.5,0.000012668
Up Clock @ waitClock|0,2.6,0.000014230
Up Clock @ waitClock|0,2.7,0.000015913
Up Clock @ waitClock|0,2.8,0.000017721
Up Clock @ waitClock|0,2.9,0.000019659
Up Clock @ waitClock|0,3.0,0.000021731
Up Clock @ waitClock|0,3.1,0.000023940
Up Clock @ waitClock|0,3.2,0.000026291
Up Clock @ waitClock|0,3.3,0.000028787
Up Clock @ waitClock|0,3.4,0.000031432
Up Clock @ waitClock|0,3.5,0.000034231
Up Clock @ waitClock|0,3.6,0.000037186
Up Clock @ waitClock|0,3.7,0.000040303
Up Clock @ waitClock|0,3.8,0.000043583
Up Clock @ waitClock|0,3.9,0.000047032
Up Clock @ waitClock|0,4.0,0.000050653
Up Clock @ waitClock|0,4.1,0.000054448
Up Clock @ waitClock|0,4.2,0.000058423
Up Clock @ waitClock|0,4.3,0.000062580
Up Clock @ waitClock|0,4.4,0.000066922
Up Clock @ waitClock|0,4.5,0.000071454
Up Clock @ waitClock|0,4.6,0.000076177
Up Clock @ waitClock|0,4.7,0.000081097
Up Clock @ waitClock|0,4.8,0.000086215
Up Clock @ waitClock|0,4.9,0.000091536
Up Clock @ waitClock|0,5.0,0.000097062
Up Clock @ waitClock|0,5.1,0.000102796
Up Clock @ waitClock|0,5.2,0.000108742
Up Clock @ waitClock|0,5.3,0.000114902
Up Clock @ waitClock|0,5.4,0.000121280
Up Clock @ waitClock|0,5.5,0.000127878
Up Clock @ waitClock|0,5.6,0.000134699
Up Clock @ waitClock|0,5.7,0.000141747
Up Clock @ waitClock|0,5.8,0.000149024
Up Clock @ waitClock|0,5.9,0.000156532
Up Clock @ waitClock|0,6.0,0.000164275
Up Clock @ waitClock|0,6.1,0.000172256
Up Clock @ waitClock|0,6.2,0.000180476
Up Clock @ waitClock|0,6.3,0.000188939
Up Clock @ waitClock|0,6.4,0.000197647
Up Clock @ waitClock|0,6.5,0.000206603
Up Clock @ waitClock|0,6.6,0.000215808
Up Clock @ waitClock|0,6.7,0.000225267
Up Clock @ waitClock|0,6.8,0.000234980
Up Clock @ waitClock|0,6.9,0.000244951
Up Clock @ waitClock|0,7.0,0.000255182
Up Clock @ waitClock|0,7.1,0.000265675
Up Clock @ waitClock|0,7.2,0.000276433
Up Clock @ waitClock|0,7.3,0.000287457
Up Clock @ waitClock|0,7.4,0.000298750
Up Clock @ waitClock|0,7.5,0.000310315
Up Clock @ waitClock|0,7.6,0.000322152
Up Clock @ waitClock|0,7.7,0.000334265
Up Clock @ waitClock|0,7.8,0.000346656
Up Clock @ waitClock|0,7.9,0.000359326
Up Clock @ waitClock|0,8.0,0.000372278
Up Clock @ waitClock|0,8.1,0.000385513
Up Clock @ waitClock|0,8.2,0.000399034
Up Clock @ waitClock|0,8.3,0.000412842
Up Clock @ waitClock|0,8.4,0.000426939
Up Clock @ waitClock|0,8.5,0.000441328
Up Clock @ waitClock|0,8.6,0.000456010
Up Clock @ waitClock|0,8.7,0.000470986
Up Clock @ waitClock|0,8.8,0.000486260
Up Clock @ waitClock|0,8.9,0.000501831
Up Clock @ waitClock|0,9.0,0.000517703
Up Clock @ waitClock|0,9.1,0.000533877
Up Clock @ waitClock|0,9.2,0.000550354
Up Clock @ waitClock|0,9.3,0.000567136
Up Clock @ waitClock|0,9.4,0.000584225
Up Clock @ waitClock|0,9.5,0.000601622
Up Clock @ waitClock|0,9.6,0.000619329
Up Clock @ waitClock|0,9.7,0.000637348
Up Clock @ waitClock|0,9.8,0.000655680
Up Clock @ waitClock|0,9.9,0.000674325
Up Clock @ waitClock|0,10.0,0.000693287
Up Clock @ waitClock|0,10.1,0.000712566
Up Clock @ waitClock|0,10.2,0.000732164
Up Clock @ waitClock|0,10.3,0.000752082
Up Clock @ waitClock|0,10.4,0.000772322
Up Clock @ waitClock|0,10.5,0.000792884
Up Clock @ waitClock|0,10.6,0.000813771
Up Clock @ waitClock|0,10.7,0.000834983
Up Clock @ waitClock|0,10.8,0.000856521
Up Clock @ waitClock|0,10.9,0.000878388
Up Clock @ waitClock|0,11.0,0.000900584
Up Clock @ waitClock|0,11.1,0.000923110
Up Clock @ waitClock|0,11.2,0.000945968
Up Clock @ waitClock|0,11.3,0.000969159
Up Clock @ waitClock|0,11.4,0.000992683
Up Clock @ waitClock|0,11.5,0.001016543
Up Clock @ waitClock|0,11.6,0.001040739
Up Clock @ waitClock|0,11.7,0.001065272
Up Clock @ waitClock|0,11.8,0.001090144
Up Clock @ waitClock|0,11.9,0.001115355
Up Clock @ waitClock|0,12.0,0.001140906
Up Clock @ waitClock|0,12.1,0.001166799
Up Clock @ waitClock|0,12.2,0.001193034
Up Clock @ waitClock|0,12.3,0.001219613
Up Clock @ waitClock|0,12.4,0.001246536
Up Clock @ waitClock|0,12.5,0.001273804
Up Clock @ waitClock|0,12.6,0.001301419
Up Clock @ waitClock|0,12.7,0.001329381
