initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ error|0 waitClock|0,0,0.000000000
Up Clock @ error|0 waitClock|0,2,0.000000000
Up Clock @ error|0 waitClock|0,4,0.000000004
Up Clock @ error|0 waitClock|0,6,0.000000025
Up Clock @ error|0 waitClock|0,8,0.000000116
Up Clock @ error|0 waitClock|0,10,0.000000370
Up Clock @ error|0 waitClock|0,12,0.000000918
Up Clock @ error|0 waitClock|0,14,0.000001945
Up Clock @ error|0 waitClock|0,16,0.000003697
Up Clock @ error|0 waitClock|0,18,0.000006472
Up Clock @ error|0 waitClock|0,20,0.000010628
Up Clock @ error|0 waitClock|0,22,0.000016572
Up Clock @ error|0 waitClock|0,24,0.000024760
Up Clock @ error|0 waitClock|0,26,0.000035695
Up Clock @ error|0 waitClock|0,28,0.000049925
Up Clock @ error|0 waitClock|0,30,0.000068038
Up Clock @ error|0 waitClock|0,32,0.000090662
Up Clock @ error|0 waitClock|0,34,0.000118463
Up Clock @ error|0 waitClock|0,36,0.000152139
Up Clock @ error|0 waitClock|0,38,0.000192424
Up Clock @ error|0 waitClock|0,40,0.000240079
Up Clock @ error|0 waitClock|0,42,0.000295898
Up Clock @ error|0 waitClock|0,44,0.000360697
Up Clock @ error|0 waitClock|0,46,0.000435320
Up Clock @ error|0 waitClock|0,48,0.000520633
Up Clock @ error|0 waitClock|0,50,0.000617524
Up Clock @ error|0 waitClock|0,52,0.000726900
Up Clock @ error|0 waitClock|0,54,0.000849685
Up Clock @ error|0 waitClock|0,56,0.000986823
Up Clock @ error|0 waitClock|0,58,0.001139269
Up Clock @ error|0 waitClock|0,60,0.001307995
Up Clock @ error|0 waitClock|0,62,0.001493983
Up Clock @ error|0 waitClock|0,64,0.001698227
Up Clock @ error|0 waitClock|0,66,0.001921730
Up Clock @ error|0 waitClock|0,68,0.002165505
Up Clock @ error|0 waitClock|0,70,0.002430572
Up Clock @ error|0 waitClock|0,72,0.002717955
Up Clock @ error|0 waitClock|0,74,0.003028685
Up Clock @ error|0 waitClock|0,76,0.003363796
Up Clock @ error|0 waitClock|0,78,0.003724327
Up Clock @ error|0 waitClock|0,80,0.004111318
Up Clock @ error|0 waitClock|0,82,0.004525809
Up Clock @ error|0 waitClock|0,84,0.004968841
Up Clock @ error|0 waitClock|0,86,0.005441456
Up Clock @ error|0 waitClock|0,88,0.005944692
Up Clock @ error|0 waitClock|0,90,0.006479587
Up Clock @ error|0 waitClock|0,92,0.007047176
Up Clock @ error|0 waitClock|0,94,0.007648488
Up Clock @ error|0 waitClock|0,96,0.008284552
Up Clock @ error|0 waitClock|0,98,0.008956387
Up Clock @ error|0 waitClock|0,100,0.009665011
Up Clock @ error|0 waitClock|0,102,0.010411433
Up Clock @ error|0 waitClock|0,104,0.011196657
Up Clock @ error|0 waitClock|0,106,0.012021679
Up Clock @ error|0 waitClock|0,108,0.012887487
