initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ waitClock|0,0.0,0.000000000
Up Clock @ waitClock|0,1.0,0.000002476
Up Clock @ waitClock|0,2.0,0.000009835
Up Clock @ waitClock|0,3.0,0.000021798
Up Clock @ waitClock|0,4.0,0.000037956
Up Clock @ waitClock|0,5.0,0.000057855
Up Clock @ waitClock|0,6.0,0.000081040
Up Clock @ waitClock|0,7.0,0.000107084
Up Clock @ waitClock|0,8.0,0.000135592
Up Clock @ waitClock|0,9.0,0.000166215
Up Clock @ waitClock|0,10.0,0.000198641
Up Clock @ waitClock|0,11.0,0.000232595
Up Clock @ waitClock|0,12.0,0.000267840
Up Clock @ waitClock|0,13.0,0.000304168
Up Clock @ waitClock|0,14.0,0.000341400
Up Clock @ waitClock|0,15.0,0.000379379
Up Clock @ waitClock|0,16.0,0.000417973
Up Clock @ waitClock|0,17.0,0.000457064
Up Clock @ waitClock|0,18.0,0.000496553
Up Clock @ waitClock|0,19.0,0.000536354
Up Clock @ waitClock|0,20.0,0.000576393
Up Clock @ waitClock|0,21.0,0.000616607
Up Clock @ waitClock|0,22.0,0.000656940
Up Clock @ waitClock|0,23.0,0.000697346
Up Clock @ waitClock|0,24.0,0.000737784
Up Clock @ waitClock|0,25.0,0.000778219
Up Clock @ waitClock|0,26.0,0.000818622
Up Clock @ waitClock|0,27.0,0.000858968
Up Clock @ waitClock|0,28.0,0.000899234
Up Clock @ waitClock|0,29.0,0.000939402
Up Clock @ waitClock|0,30.0,0.000979456
Up Clock @ waitClock|0,31.0,0.001019382
Up Clock @ waitClock|0,32.0,0.001059170
Up Clock @ waitClock|0,33.0,0.001098808
Up Clock @ waitClock|0,34.0,0.001138290
Up Clock @ waitClock|0,35.0,0.001177608
Up Clock @ waitClock|0,36.0,0.001216755
Up Clock @ waitClock|0,37.0,0.001255728
Up Clock @ waitClock|0,38.0,0.001294522
Up Clock @ waitClock|0,39.0,0.001333134
Up Clock @ waitClock|0,40.0,0.001371561
Up Clock @ waitClock|0,41.0,0.001409800
Up Clock @ waitClock|0,42.0,0.001447851
Up Clock @ waitClock|0,43.0,0.001485711
Up Clock @ waitClock|0,44.0,0.001523380
Up Clock @ waitClock|0,45.0,0.001560857
Up Clock @ waitClock|0,46.0,0.001598142
Up Clock @ waitClock|0,47.0,0.001635233
Up Clock @ waitClock|0,48.0,0.001672132
Up Clock @ waitClock|0,49.0,0.001708838
Up Clock @ waitClock|0,50.0,0.001745351
Up Clock @ waitClock|0,51.0,0.001781672
Up Clock @ waitClock|0,52.0,0.001817800
Up Clock @ waitClock|0,53.0,0.001853738
Up Clock @ waitClock|0,54.0,0.001889484
Up Clock @ waitClock|0,55.0,0.001925040
Up Clock @ waitClock|0,56.0,0.001960407
Up Clock @ waitClock|0,57.0,0.001995585
Up Clock @ waitClock|0,58.0,0.002030574
Up Clock @ waitClock|0,59.0,0.002065377
Up Clock @ waitClock|0,60.0,0.002099992
Up Clock @ waitClock|0,61.0,0.002134423
Up Clock @ waitClock|0,62.0,0.002168668
Up Clock @ waitClock|0,63.0,0.002202729
Up Clock @ waitClock|0,64.0,0.002236608
Up Clock @ waitClock|0,65.0,0.002270304
Up Clock @ waitClock|0,66.0,0.002303819
Up Clock @ waitClock|0,67.0,0.002337154
Up Clock @ waitClock|0,68.0,0.002370309
Up Clock @ waitClock|0,69.0,0.002403286
Up Clock @ waitClock|0,70.0,0.002436085
Up Clock @ waitClock|0,71.0,0.002468708
Up Clock @ waitClock|0,72.0,0.002501155
Up Clock @ waitClock|0,73.0,0.002533427
Up Clock @ waitClock|0,74.0,0.002565525
Up Clock @ waitClock|0,75.0,0.002597450
Up Clock @ waitClock|0,76.0,0.002629204
Up Clock @ waitClock|0,77.0,0.002660786
Up Clock @ waitClock|0,78.0,0.002692197
Up Clock @ waitClock|0,79.0,0.002723440
Up Clock @ waitClock|0,80.0,0.002754514
Up Clock @ waitClock|0,81.0,0.002785420
Up Clock @ waitClock|0,82.0,0.002816160
Up Clock @ waitClock|0,83.0,0.002846734
Up Clock @ waitClock|0,84.0,0.002877144
Up Clock @ waitClock|0,85.0,0.002907389
Up Clock @ waitClock|0,86.0,0.002937471
Up Clock @ waitClock|0,87.0,0.002967391
Up Clock @ waitClock|0,88.0,0.002997150
Up Clock @ waitClock|0,89.0,0.003026748
Up Clock @ waitClock|0,90.0,0.003056187
Up Clock @ waitClock|0,91.0,0.003085467
Up Clock @ waitClock|0,92.0,0.003114589
Up Clock @ waitClock|0,93.0,0.003143554
Up Clock @ waitClock|0,94.0,0.003172362
Up Clock @ waitClock|0,95.0,0.003201016
Up Clock @ waitClock|0,96.0,0.003229515
Up Clock @ waitClock|0,97.0,0.003257860
Up Clock @ waitClock|0,98.0,0.003286052
Up Clock @ waitClock|0,99.0,0.003314092
Up Clock @ waitClock|0,100.0,0.003341981
Up Clock @ waitClock|0,101.0,0.003369720
Up Clock @ waitClock|0,102.0,0.003397309
Up Clock @ waitClock|0,103.0,0.003424749
Up Clock @ waitClock|0,104.0,0.003452042
Up Clock @ waitClock|0,105.0,0.003479187
Up Clock @ waitClock|0,106.0,0.003506186
Up Clock @ waitClock|0,107.0,0.003533039
Up Clock @ waitClock|0,108.0,0.003559747
Up Clock @ waitClock|0,109.0,0.003586311
Up Clock @ waitClock|0,110.0,0.003612732
Up Clock @ waitClock|0,111.0,0.003639011
Up Clock @ waitClock|0,112.0,0.003665148
Up Clock @ waitClock|0,113.0,0.003691143
Up Clock @ waitClock|0,114.0,0.003716999
Up Clock @ waitClock|0,115.0,0.003742715
Up Clock @ waitClock|0,116.0,0.003768293
Up Clock @ waitClock|0,117.0,0.003793733
Up Clock @ waitClock|0,118.0,0.003819035
Up Clock @ waitClock|0,119.0,0.003844201
Up Clock @ waitClock|0,120.0,0.003869231
Up Clock @ waitClock|0,121.0,0.003894126
Up Clock @ waitClock|0,122.0,0.003918887
Up Clock @ waitClock|0,123.0,0.003943515
Up Clock @ waitClock|0,124.0,0.003968010
Up Clock @ waitClock|0,125.0,0.003992372
Up Clock @ waitClock|0,126.0,0.004016603
Up Clock @ waitClock|0,127.0,0.004040704
Up Clock @ waitClock|0,128.0,0.004064674
Up Clock @ waitClock|0,129.0,0.004088516
Up Clock @ waitClock|0,130.0,0.004112228
Up Clock @ waitClock|0,131.0,0.004135813
Up Clock @ waitClock|0,132.0,0.004159271
Up Clock @ waitClock|0,133.0,0.004182602
Up Clock @ waitClock|0,134.0,0.004205807
Up Clock @ waitClock|0,135.0,0.004228887
Up Clock @ waitClock|0,136.0,0.004251843
Up Clock @ waitClock|0,137.0,0.004274675
Up Clock @ waitClock|0,138.0,0.004297384
Up Clock @ waitClock|0,139.0,0.004319970
Up Clock @ waitClock|0,140.0,0.004342434
Up Clock @ waitClock|0,141.0,0.004364778
Up Clock @ waitClock|0,142.0,0.004387000
Up Clock @ waitClock|0,143.0,0.004409103
Up Clock @ waitClock|0,144.0,0.004431087
Up Clock @ waitClock|0,145.0,0.004452952
Up Clock @ waitClock|0,146.0,0.004474700
Up Clock @ waitClock|0,147.0,0.004496330
Up Clock @ waitClock|0,148.0,0.004517843
Up Clock @ waitClock|0,149.0,0.004539241
Up Clock @ waitClock|0,150.0,0.004560523
Up Clock @ waitClock|0,151.0,0.004581690
Up Clock @ waitClock|0,152.0,0.004602743
Up Clock @ waitClock|0,153.0,0.004623682
Up Clock @ waitClock|0,154.0,0.004644509
Up Clock @ waitClock|0,155.0,0.004665223
Up Clock @ waitClock|0,156.0,0.004685826
Up Clock @ waitClock|0,157.0,0.004706317
Up Clock @ waitClock|0,158.0,0.004726698
Up Clock @ waitClock|0,159.0,0.004746969
Up Clock @ waitClock|0,160.0,0.004767131
Up Clock @ waitClock|0,161.0,0.004787184
Up Clock @ waitClock|0,162.0,0.004807129
Up Clock @ waitClock|0,163.0,0.004826966
Up Clock @ waitClock|0,164.0,0.004846696
Up Clock @ waitClock|0,165.0,0.004866320
Up Clock @ waitClock|0,166.0,0.004885838
Up Clock @ waitClock|0,167.0,0.004905251
Up Clock @ waitClock|0,168.0,0.004924559
Up Clock @ waitClock|0,169.0,0.004943763
Up Clock @ waitClock|0,170.0,0.004962863
Up Clock @ waitClock|0,171.0,0.004981861
Up Clock @ waitClock|0,172.0,0.005000756
Up Clock @ waitClock|0,173.0,0.005019549
Up Clock @ waitClock|0,174.0,0.005038241
Up Clock @ waitClock|0,175.0,0.005056831
Up Clock @ waitClock|0,176.0,0.005075322
Up Clock @ waitClock|0,177.0,0.005093713
Up Clock @ waitClock|0,178.0,0.005112005
Up Clock @ waitClock|0,179.0,0.005130198
Up Clock @ waitClock|0,180.0,0.005148293
Up Clock @ waitClock|0,181.0,0.005166290
Up Clock @ waitClock|0,182.0,0.005184191
Up Clock @ waitClock|0,183.0,0.005201994
Up Clock @ waitClock|0,184.0,0.005219702
Up Clock @ waitClock|0,185.0,0.005237314
Up Clock @ waitClock|0,186.0,0.005254832
Up Clock @ waitClock|0,187.0,0.005272255
Up Clock @ waitClock|0,188.0,0.005289584
Up Clock @ waitClock|0,189.0,0.005306819
Up Clock @ waitClock|0,190.0,0.005323961
Up Clock @ waitClock|0,191.0,0.005341011
Up Clock @ waitClock|0,192.0,0.005357970
Up Clock @ waitClock|0,193.0,0.005374836
Up Clock @ waitClock|0,194.0,0.005391612
Up Clock @ waitClock|0,195.0,0.005408297
Up Clock @ waitClock|0,196.0,0.005424892
Up Clock @ waitClock|0,197.0,0.005441398
Up Clock @ waitClock|0,198.0,0.005457815
Up Clock @ waitClock|0,199.0,0.005474143
Up Clock @ waitClock|0,200.0,0.005490383
Up Clock @ waitClock|0,201.0,0.005506536
Up Clock @ waitClock|0,202.0,0.005522601
Up Clock @ waitClock|0,203.0,0.005538580
Up Clock @ waitClock|0,204.0,0.005554472
Up Clock @ waitClock|0,205.0,0.005570279
Up Clock @ waitClock|0,206.0,0.005586001
Up Clock @ waitClock|0,207.0,0.005601638
Up Clock @ waitClock|0,208.0,0.005617190
Up Clock @ waitClock|0,209.0,0.005632659
Up Clock @ waitClock|0,210.0,0.005648044
Up Clock @ waitClock|0,211.0,0.005663347
Up Clock @ waitClock|0,212.0,0.005678566
Up Clock @ waitClock|0,213.0,0.005693704
Up Clock @ waitClock|0,214.0,0.005708760
Up Clock @ waitClock|0,215.0,0.005723735
Up Clock @ waitClock|0,216.0,0.005738629
Up Clock @ waitClock|0,217.0,0.005753443
Up Clock @ waitClock|0,218.0,0.005768177
Up Clock @ waitClock|0,219.0,0.005782831
Up Clock @ waitClock|0,220.0,0.005797407
Up Clock @ waitClock|0,221.0,0.005811903
Up Clock @ waitClock|0,222.0,0.005826322
Up Clock @ waitClock|0,223.0,0.005840663
Up Clock @ waitClock|0,224.0,0.005854926
Up Clock @ waitClock|0,225.0,0.005869113
Up Clock @ waitClock|0,226.0,0.005883223
Up Clock @ waitClock|0,227.0,0.005897257
Up Clock @ waitClock|0,228.0,0.005911215
Up Clock @ waitClock|0,229.0,0.005925098
Up Clock @ waitClock|0,230.0,0.005938907
Up Clock @ waitClock|0,231.0,0.005952640
Up Clock @ waitClock|0,232.0,0.005966300
Up Clock @ waitClock|0,233.0,0.005979886
Up Clock @ waitClock|0,234.0,0.005993399
Up Clock @ waitClock|0,235.0,0.006006838
Up Clock @ waitClock|0,236.0,0.006020206
Up Clock @ waitClock|0,237.0,0.006033501
Up Clock @ waitClock|0,238.0,0.006046725
Up Clock @ waitClock|0,239.0,0.006059877
Up Clock @ waitClock|0,240.0,0.006072958
Up Clock @ waitClock|0,241.0,0.006085969
Up Clock @ waitClock|0,242.0,0.006098909
Up Clock @ waitClock|0,243.0,0.006111780
Up Clock @ waitClock|0,244.0,0.006124582
Up Clock @ waitClock|0,245.0,0.006137314
Up Clock @ waitClock|0,246.0,0.006149978
Up Clock @ waitClock|0,247.0,0.006162573
Up Clock @ waitClock|0,248.0,0.006175101
Up Clock @ waitClock|0,249.0,0.006187561
Up Clock @ waitClock|0,250.0,0.006199953
Up Clock @ waitClock|0,251.0,0.006212279
Up Clock @ waitClock|0,252.0,0.006224539
Up Clock @ waitClock|0,253.0,0.006236732
Up Clock @ waitClock|0,254.0,0.006248859
Up Clock @ waitClock|0,255.0,0.006260922
Up Clock @ waitClock|0,256.0,0.006272919
Up Clock @ waitClock|0,257.0,0.006284851
Up Clock @ waitClock|0,258.0,0.006296719
Up Clock @ waitClock|0,259.0,0.006308523
Up Clock @ waitClock|0,260.0,0.006320264
Up Clock @ waitClock|0,261.0,0.006331941
Up Clock @ waitClock|0,262.0,0.006343555
Up Clock @ waitClock|0,263.0,0.006355106
