initialRegeneration,time,Down + Detected + Rej > 0
Up Clock @ waitClock|0,0,0.000000000
Up Clock @ waitClock|0,2,0.000009885
Up Clock @ waitClock|0,4,0.000038729
Up Clock @ waitClock|0,6,0.000083454
Up Clock @ waitClock|0,8,0.000140476
Up Clock @ waitClock|0,10,0.000206654
Up Clock @ waitClock|0,12,0.000279481
Up Clock @ waitClock|0,14,0.000357033
Up Clock @ waitClock|0,16,0.000437856
Up Clock @ waitClock|0,18,0.000520866
Up Clock @ waitClock|0,20,0.000605256
Up Clock @ waitClock|0,22,0.000690428
Up Clock @ waitClock|0,24,0.000775940
Up Clock @ waitClock|0,26,0.000861465
Up Clock @ waitClock|0,28,0.000946763
Up Clock @ waitClock|0,30,0.001031659
Up Clock @ waitClock|0,32,0.001116023
Up Clock @ waitClock|0,34,0.001199765
Up Clock @ waitClock|0,36,0.001282816
Up Clock @ waitClock|0,38,0.001365131
Up Clock @ waitClock|0,40,0.001446676
Up Clock @ waitClock|0,42,0.001527430
Up Clock @ waitClock|0,44,0.001607379
Up Clock @ waitClock|0,46,0.001686515
Up Clock @ waitClock|0,48,0.001764835
Up Clock @ waitClock|0,50,0.001842338
Up Clock @ waitClock|0,52,0.001919026
Up Clock @ waitClock|0,54,0.001994903
Up Clock @ waitClock|0,56,0.002069974
Up Clock @ waitClock|0,58,0.002144244
Up Clock @ waitClock|0,60,0.002217721
Up Clock @ waitClock|0,62,0.002290412
Up Clock @ waitClock|0,64,0.002362323
Up Clock @ waitClock|0,66,0.002433462
Up Clock @ waitClock|0,68,0.002503837
Up Clock @ waitClock|0,70,0.002573455
Up Clock @ waitClock|0,72,0.002642325
Up Clock @ waitClock|0,74,0.002710454
Up Clock @ waitClock|0,76,0.002777850
Up Clock @ waitClock|0,78,0.002844521
Up Clock @ waitClock|0,80,0.002910474
Up Clock @ waitClock|0,82,0.002975718
Up Clock @ waitClock|0,84,0.003040259
Up Clock @ waitClock|0,86,0.003104105
Up Clock @ waitClock|0,88,0.003167264
Up Clock @ waitClock|0,90,0.003229742
Up Clock @ waitClock|0,92,0.003291548
Up Clock @ waitClock|0,94,0.003352689
Up Clock @ waitClock|0,96,0.003413171
Up Clock @ waitClock|0,98,0.003473003
Up Clock @ waitClock|0,100,0.003532189
Up Clock @ waitClock|0,102,0.003590739
Up Clock @ waitClock|0,104,0.003648658
Up Clock @ waitClock|0,106,0.003705954
Up Clock @ waitClock|0,108,0.003762633
Up Clock @ waitClock|0,110,0.003818701
Up Clock @ waitClock|0,112,0.003874166
Up Clock @ waitClock|0,114,0.003929033
Up Clock @ waitClock|0,116,0.003983310
Up Clock @ waitClock|0,118,0.004037002
Up Clock @ waitClock|0,120,0.004090116
Up Clock @ waitClock|0,122,0.004142658
Up Clock @ waitClock|0,124,0.004194635
Up Clock @ waitClock|0,126,0.004246051
Up Clock @ waitClock|0,128,0.004296914
Up Clock @ waitClock|0,130,0.004347230
Up Clock @ waitClock|0,132,0.004397004
Up Clock @ waitClock|0,134,0.004446241
Up Clock @ waitClock|0,136,0.004494949
Up Clock @ waitClock|0,138,0.004543132
Up Clock @ waitClock|0,140,0.004590796
Up Clock @ waitClock|0,142,0.004637948
Up Clock @ waitClock|0,144,0.004684591
Up Clock @ waitClock|0,146,0.004730732
Up Clock @ waitClock|0,148,0.004776377
Up Clock @ waitClock|0,150,0.004821529
Up Clock @ waitClock|0,152,0.004866196
Up Clock @ waitClock|0,154,0.004910382
Up Clock @ waitClock|0,156,0.004954092
Up Clock @ waitClock|0,158,0.004997331
Up Clock @ waitClock|0,160,0.005040105
Up Clock @ waitClock|0,162,0.005082418
Up Clock @ waitClock|0,164,0.005124276
Up Clock @ waitClock|0,166,0.005165682
Up Clock @ waitClock|0,168,0.005206643
Up Clock @ waitClock|0,170,0.005247163
Up Clock @ waitClock|0,172,0.005287247
Up Clock @ waitClock|0,174,0.005326899
Up Clock @ waitClock|0,176,0.005366124
Up Clock @ waitClock|0,178,0.005404927
Up Clock @ waitClock|0,180,0.005443312
Up Clock @ waitClock|0,182,0.005481284
Up Clock @ waitClock|0,184,0.005518846
Up Clock @ waitClock|0,186,0.005556005
Up Clock @ waitClock|0,188,0.005592763
Up Clock @ waitClock|0,190,0.005629125
Up Clock @ waitClock|0,192,0.005665096
Up Clock @ waitClock|0,194,0.005700680
Up Clock @ waitClock|0,196,0.005735880
Up Clock @ waitClock|0,198,0.005770702
Up Clock @ waitClock|0,200,0.005805148
Up Clock @ waitClock|0,202,0.005839224
Up Clock @ waitClock|0,204,0.005872932
Up Clock @ waitClock|0,206,0.005906278
Up Clock @ waitClock|0,208,0.005939265
Up Clock @ waitClock|0,210,0.005971896
Up Clock @ waitClock|0,212,0.006004176
Up Clock @ waitClock|0,214,0.006036109
Up Clock @ waitClock|0,216,0.006067698
Up Clock @ waitClock|0,218,0.006098946
Up Clock @ waitClock|0,220,0.006129858
Up Clock @ waitClock|0,222,0.006160437
Up Clock @ waitClock|0,224,0.006190687
Up Clock @ waitClock|0,226,0.006220612
Up Clock @ waitClock|0,228,0.006250214
Up Clock @ waitClock|0,230,0.006279497
Up Clock @ waitClock|0,232,0.006308465
Up Clock @ waitClock|0,234,0.006337121
Up Clock @ waitClock|0,236,0.006365469
Up Clock @ waitClock|0,238,0.006393511
Up Clock @ waitClock|0,240,0.006421251
Up Clock @ waitClock|0,242,0.006448693
Up Clock @ waitClock|0,244,0.006475839
Up Clock @ waitClock|0,246,0.006502693
Up Clock @ waitClock|0,248,0.006529258
Up Clock @ waitClock|0,250,0.006555537
Up Clock @ waitClock|0,252,0.006581532
Up Clock @ waitClock|0,254,0.006607248
Up Clock @ waitClock|0,256,0.006632687
Up Clock @ waitClock|0,258,0.006657852
Up Clock @ waitClock|0,260,0.006682746
Up Clock @ waitClock|0,262,0.006707372
Up Clock @ waitClock|0,264,0.006731733
Up Clock @ waitClock|0,266,0.006755832
Up Clock @ waitClock|0,268,0.006779671
Up Clock @ waitClock|0,270,0.006803253
Up Clock @ waitClock|0,272,0.006826582
Up Clock @ waitClock|0,274,0.006849659
Up Clock @ waitClock|0,276,0.006872488
Up Clock @ waitClock|0,278,0.006895071
Up Clock @ waitClock|0,280,0.006917411
Up Clock @ waitClock|0,282,0.006939510
Up Clock @ waitClock|0,284,0.006961371
Up Clock @ waitClock|0,286,0.006982997
Up Clock @ waitClock|0,288,0.007004390
Up Clock @ waitClock|0,290,0.007025553
Up Clock @ waitClock|0,292,0.007046488
Up Clock @ waitClock|0,294,0.007067197
Up Clock @ waitClock|0,296,0.007087684
Up Clock @ waitClock|0,298,0.007107950
Up Clock @ waitClock|0,300,0.007127997
Up Clock @ waitClock|0,302,0.007147829
Up Clock @ waitClock|0,304,0.007167447
Up Clock @ waitClock|0,306,0.007186854
Up Clock @ waitClock|0,308,0.007206052
Up Clock @ waitClock|0,310,0.007225044
Up Clock @ waitClock|0,312,0.007243830
Up Clock @ waitClock|0,314,0.007262415
Up Clock @ waitClock|0,316,0.007280799
Up Clock @ waitClock|0,318,0.007298986
Up Clock @ waitClock|0,320,0.007316977
Up Clock @ waitClock|0,322,0.007334774
Up Clock @ waitClock|0,324,0.007352379
Up Clock @ waitClock|0,326,0.007369795
Up Clock @ waitClock|0,328,0.007387023
Up Clock @ waitClock|0,330,0.007404066
Up Clock @ waitClock|0,332,0.007420925
Up Clock @ waitClock|0,334,0.007437602
Up Clock @ waitClock|0,336,0.007454101
Up Clock @ waitClock|0,338,0.007470421
Up Clock @ waitClock|0,340,0.007486566
Up Clock @ waitClock|0,342,0.007502537
Up Clock @ waitClock|0,344,0.007518336
Up Clock @ waitClock|0,346,0.007533964
Up Clock @ waitClock|0,348,0.007549425
Up Clock @ waitClock|0,350,0.007564719
Up Clock @ waitClock|0,352,0.007579848
Up Clock @ waitClock|0,354,0.007594815
Up Clock @ waitClock|0,356,0.007609620
Up Clock @ waitClock|0,358,0.007624266
Up Clock @ waitClock|0,360,0.007638754
Up Clock @ waitClock|0,362,0.007653087
Up Clock @ waitClock|0,364,0.007667264
Up Clock @ waitClock|0,366,0.007681290
Up Clock @ waitClock|0,368,0.007695164
Up Clock @ waitClock|0,370,0.007708889
Up Clock @ waitClock|0,372,0.007722466
Up Clock @ waitClock|0,374,0.007735897
Up Clock @ waitClock|0,376,0.007749183
Up Clock @ waitClock|0,378,0.007762326
Up Clock @ waitClock|0,380,0.007775328
Up Clock @ waitClock|0,382,0.007788189
Up Clock @ waitClock|0,384,0.007800912
Up Clock @ waitClock|0,386,0.007813499
Up Clock @ waitClock|0,388,0.007825949
Up Clock @ waitClock|0,390,0.007838266
Up Clock @ waitClock|0,392,0.007850450
Up Clock @ waitClock|0,394,0.007862503
Up Clock @ waitClock|0,396,0.007874426
Up Clock @ waitClock|0,398,0.007886220
Up Clock @ waitClock|0,400,0.007897888
Up Clock @ waitClock|0,402,0.007909430
Up Clock @ waitClock|0,404,0.007920847
Up Clock @ waitClock|0,406,0.007932142
Up Clock @ waitClock|0,408,0.007943315
Up Clock @ waitClock|0,410,0.007954368
Up Clock @ waitClock|0,412,0.007965302
Up Clock @ waitClock|0,414,0.007976118
Up Clock @ waitClock|0,416,0.007986818
Up Clock @ waitClock|0,418,0.007997402
Up Clock @ waitClock|0,420,0.008007873
Up Clock @ waitClock|0,422,0.008018230
Up Clock @ waitClock|0,424,0.008028477
Up Clock @ waitClock|0,426,0.008038612
Up Clock @ waitClock|0,428,0.008048639
Up Clock @ waitClock|0,430,0.008058558
Up Clock @ waitClock|0,432,0.008068370
Up Clock @ waitClock|0,434,0.008078076
Up Clock @ waitClock|0,436,0.008087678
Up Clock @ waitClock|0,438,0.008097176
Up Clock @ waitClock|0,440,0.008106573
Up Clock @ waitClock|0,442,0.008115868
Up Clock @ waitClock|0,444,0.008125062
Up Clock @ waitClock|0,446,0.008134158
Up Clock @ waitClock|0,448,0.008143156
Up Clock @ waitClock|0,450,0.008152057
Up Clock @ waitClock|0,452,0.008160863
Up Clock @ waitClock|0,454,0.008169573
Up Clock @ waitClock|0,456,0.008178190
Up Clock @ waitClock|0,458,0.008186713
Up Clock @ waitClock|0,460,0.008195145
Up Clock @ waitClock|0,462,0.008203487
Up Clock @ waitClock|0,464,0.008211738
Up Clock @ waitClock|0,466,0.008219901
Up Clock @ waitClock|0,468,0.008227975
Up Clock @ waitClock|0,470,0.008235963
Up Clock @ waitClock|0,472,0.008243865
Up Clock @ waitClock|0,474,0.008251682
Up Clock @ waitClock|0,476,0.008259414
Up Clock @ waitClock|0,478,0.008267063
Up Clock @ waitClock|0,480,0.008274630
Up Clock @ waitClock|0,482,0.008282116
Up Clock @ waitClock|0,484,0.008289521
Up Clock @ waitClock|0,486,0.008296846
Up Clock @ waitClock|0,488,0.008304092
Up Clock @ waitClock|0,490,0.008311260
Up Clock @ waitClock|0,492,0.008318351
Up Clock @ waitClock|0,494,0.008325366
Up Clock @ waitClock|0,496,0.008332305
Up Clock @ waitClock|0,498,0.008339169
Up Clock @ waitClock|0,500,0.008345960
Up Clock @ waitClock|0,502,0.008352677
Up Clock @ waitClock|0,504,0.008359322
Up Clock @ waitClock|0,506,0.008365896
Up Clock @ waitClock|0,508,0.008372398
Up Clock @ waitClock|0,510,0.008378831
Up Clock @ waitClock|0,512,0.008385194
Up Clock @ waitClock|0,514,0.008391489
Up Clock @ waitClock|0,516,0.008397716
Up Clock @ waitClock|0,518,0.008403876
Up Clock @ waitClock|0,520,0.008409970
