initialRegeneration,time,Down > 0
Up Clock @ waitClock|0,0.0,0.000000000
Up Clock @ waitClock|0,1.0,0.000002476
Up Clock @ waitClock|0,2.0,0.000009885
Up Clock @ waitClock|0,3.0,0.000022202
Up Clock @ waitClock|0,4.0,0.000039400
Up Clock @ waitClock|0,5.0,0.000061453
Up Clock @ waitClock|0,6.0,0.000088335
Up Clock @ waitClock|0,7.0,0.000120020
Up Clock @ waitClock|0,8.0,0.000156483
Up Clock @ waitClock|0,9.0,0.000197696
Up Clock @ waitClock|0,10.0,0.000243636
Up Clock @ waitClock|0,11.0,0.000294276
Up Clock @ waitClock|0,12.0,0.000349591
Up Clock @ waitClock|0,13.0,0.000409555
Up Clock @ waitClock|0,14.0,0.000474145
Up Clock @ waitClock|0,15.0,0.000543334
Up Clock @ waitClock|0,16.0,0.000617097
Up Clock @ waitClock|0,17.0,0.000695411
Up Clock @ waitClock|0,18.0,0.000778250
Up Clock @ waitClock|0,19.0,0.000865589
Up Clock @ waitClock|0,20.0,0.000957405
Up Clock @ waitClock|0,21.0,0.001053672
Up Clock @ waitClock|0,22.0,0.001154367
Up Clock @ waitClock|0,23.0,0.001259465
Up Clock @ waitClock|0,24.0,0.001368942
Up Clock @ waitClock|0,25.0,0.001482775
Up Clock @ waitClock|0,26.0,0.001600939
Up Clock @ waitClock|0,27.0,0.001723411
Up Clock @ waitClock|0,28.0,0.001850168
Up Clock @ waitClock|0,29.0,0.001981185
Up Clock @ waitClock|0,30.0,0.002116439
Up Clock @ waitClock|0,31.0,0.002255907
Up Clock @ waitClock|0,32.0,0.002399566
Up Clock @ waitClock|0,33.0,0.002547393
Up Clock @ waitClock|0,34.0,0.002699364
Up Clock @ waitClock|0,35.0,0.002855457
Up Clock @ waitClock|0,36.0,0.003015649
Up Clock @ waitClock|0,37.0,0.003179917
Up Clock @ waitClock|0,38.0,0.003348238
Up Clock @ waitClock|0,39.0,0.003520591
Up Clock @ waitClock|0,40.0,0.003696953
Up Clock @ waitClock|0,41.0,0.003877301
Up Clock @ waitClock|0,42.0,0.004061614
Up Clock @ waitClock|0,43.0,0.004249869
Up Clock @ waitClock|0,44.0,0.004442044
Up Clock @ waitClock|0,45.0,0.004638117
Up Clock @ waitClock|0,46.0,0.004838067
Up Clock @ waitClock|0,47.0,0.005041872
Up Clock @ waitClock|0,48.0,0.005249509
Up Clock @ waitClock|0,49.0,0.005460959
Up Clock @ waitClock|0,50.0,0.005676199
Up Clock @ waitClock|0,51.0,0.005895208
Up Clock @ waitClock|0,52.0,0.006117964
Up Clock @ waitClock|0,53.0,0.006344448
Up Clock @ waitClock|0,54.0,0.006574637
Up Clock @ waitClock|0,55.0,0.006808510
Up Clock @ waitClock|0,56.0,0.007046047
Up Clock @ waitClock|0,57.0,0.007287228
Up Clock @ waitClock|0,58.0,0.007532031
Up Clock @ waitClock|0,59.0,0.007780436
Up Clock @ waitClock|0,60.0,0.008032422
Up Clock @ waitClock|0,61.0,0.008287969
Up Clock @ waitClock|0,62.0,0.008547057
Up Clock @ waitClock|0,63.0,0.008809665
Up Clock @ waitClock|0,64.0,0.009075774
Up Clock @ waitClock|0,65.0,0.009345363
Up Clock @ waitClock|0,66.0,0.009618412
Up Clock @ waitClock|0,67.0,0.009894902
Up Clock @ waitClock|0,68.0,0.010174814
Up Clock @ waitClock|0,69.0,0.010458126
Up Clock @ waitClock|0,70.0,0.010744820
Up Clock @ waitClock|0,71.0,0.011034876
Up Clock @ waitClock|0,72.0,0.011328274
Up Clock @ waitClock|0,73.0,0.011624997
Up Clock @ waitClock|0,74.0,0.011925023
Up Clock @ waitClock|0,75.0,0.012228335
Up Clock @ waitClock|0,76.0,0.012534912
Up Clock @ waitClock|0,77.0,0.012844737
Up Clock @ waitClock|0,78.0,0.013157789
Up Clock @ waitClock|0,79.0,0.013474051
Up Clock @ waitClock|0,80.0,0.013793504
Up Clock @ waitClock|0,81.0,0.014116129
Up Clock @ waitClock|0,82.0,0.014441907
Up Clock @ waitClock|0,83.0,0.014770821
Up Clock @ waitClock|0,84.0,0.015102851
Up Clock @ waitClock|0,85.0,0.015437979
Up Clock @ waitClock|0,86.0,0.015776187
Up Clock @ waitClock|0,87.0,0.016117458
Up Clock @ waitClock|0,88.0,0.016461773
Up Clock @ waitClock|0,89.0,0.016809113
Up Clock @ waitClock|0,90.0,0.017159462
Up Clock @ waitClock|0,91.0,0.017512801
Up Clock @ waitClock|0,92.0,0.017869112
Up Clock @ waitClock|0,93.0,0.018228379
Up Clock @ waitClock|0,94.0,0.018590582
Up Clock @ waitClock|0,95.0,0.018955706
Up Clock @ waitClock|0,96.0,0.019323732
Up Clock @ waitClock|0,97.0,0.019694644
Up Clock @ waitClock|0,98.0,0.020068423
Up Clock @ waitClock|0,99.0,0.020445053
Up Clock @ waitClock|0,100.0,0.020824517
Up Clock @ waitClock|0,101.0,0.021206797
Up Clock @ waitClock|0,102.0,0.021591877
Up Clock @ waitClock|0,103.0,0.021979740
Up Clock @ waitClock|0,104.0,0.022370369
Up Clock @ waitClock|0,105.0,0.022763747
Up Clock @ waitClock|0,106.0,0.023159858
Up Clock @ waitClock|0,107.0,0.023558685
Up Clock @ waitClock|0,108.0,0.023960211
Up Clock @ waitClock|0,109.0,0.024364421
Up Clock @ waitClock|0,110.0,0.024771298
Up Clock @ waitClock|0,111.0,0.025180826
Up Clock @ waitClock|0,112.0,0.025592987
Up Clock @ waitClock|0,113.0,0.026007768
Up Clock @ waitClock|0,114.0,0.026425150
Up Clock @ waitClock|0,115.0,0.026845119
Up Clock @ waitClock|0,116.0,0.027267658
Up Clock @ waitClock|0,117.0,0.027692752
Up Clock @ waitClock|0,118.0,0.028120385
Up Clock @ waitClock|0,119.0,0.028550541
Up Clock @ waitClock|0,120.0,0.028983204
Up Clock @ waitClock|0,121.0,0.029418360
Up Clock @ waitClock|0,122.0,0.029855992
Up Clock @ waitClock|0,123.0,0.030296085
Up Clock @ waitClock|0,124.0,0.030738624
Up Clock @ waitClock|0,125.0,0.031183594
Up Clock @ waitClock|0,126.0,0.031630979
Up Clock @ waitClock|0,127.0,0.032080764
Up Clock @ waitClock|0,128.0,0.032532935
Up Clock @ waitClock|0,129.0,0.032987475
Up Clock @ waitClock|0,130.0,0.033444371
Up Clock @ waitClock|0,131.0,0.033903608
Up Clock @ waitClock|0,132.0,0.034365170
Up Clock @ waitClock|0,133.0,0.034829044
Up Clock @ waitClock|0,134.0,0.035295213
Up Clock @ waitClock|0,135.0,0.035763665
Up Clock @ waitClock|0,136.0,0.036234384
Up Clock @ waitClock|0,137.0,0.036707355
Up Clock @ waitClock|0,138.0,0.037182565
Up Clock @ waitClock|0,139.0,0.037659999
Up Clock @ waitClock|0,140.0,0.038139643
Up Clock @ waitClock|0,141.0,0.038621483
Up Clock @ waitClock|0,142.0,0.039105505
Up Clock @ waitClock|0,143.0,0.039591694
Up Clock @ waitClock|0,144.0,0.040080036
Up Clock @ waitClock|0,145.0,0.040570518
Up Clock @ waitClock|0,146.0,0.041063126
Up Clock @ waitClock|0,147.0,0.041557846
Up Clock @ waitClock|0,148.0,0.042054665
Up Clock @ waitClock|0,149.0,0.042553567
Up Clock @ waitClock|0,150.0,0.043054541
Up Clock @ waitClock|0,151.0,0.043557572
Up Clock @ waitClock|0,152.0,0.044062648
Up Clock @ waitClock|0,153.0,0.044569753
Up Clock @ waitClock|0,154.0,0.045078876
Up Clock @ waitClock|0,155.0,0.045590003
Up Clock @ waitClock|0,156.0,0.046103121
Up Clock @ waitClock|0,157.0,0.046618216
Up Clock @ waitClock|0,158.0,0.047135275
Up Clock @ waitClock|0,159.0,0.047654286
Up Clock @ waitClock|0,160.0,0.048175235
Up Clock @ waitClock|0,161.0,0.048698109
Up Clock @ waitClock|0,162.0,0.049222896
Up Clock @ waitClock|0,163.0,0.049749583
Up Clock @ waitClock|0,164.0,0.050278156
Up Clock @ waitClock|0,165.0,0.050808604
Up Clock @ waitClock|0,166.0,0.051340914
Up Clock @ waitClock|0,167.0,0.051875072
Up Clock @ waitClock|0,168.0,0.052411067
Up Clock @ waitClock|0,169.0,0.052948886
Up Clock @ waitClock|0,170.0,0.053488517
Up Clock @ waitClock|0,171.0,0.054029947
Up Clock @ waitClock|0,172.0,0.054573164
Up Clock @ waitClock|0,173.0,0.055118156
Up Clock @ waitClock|0,174.0,0.055664910
Up Clock @ waitClock|0,175.0,0.056213415
Up Clock @ waitClock|0,176.0,0.056763658
Up Clock @ waitClock|0,177.0,0.057315627
Up Clock @ waitClock|0,178.0,0.057869311
Up Clock @ waitClock|0,179.0,0.058424698
Up Clock @ waitClock|0,180.0,0.058981775
Up Clock @ waitClock|0,181.0,0.059540531
Up Clock @ waitClock|0,182.0,0.060100955
Up Clock @ waitClock|0,183.0,0.060663034
Up Clock @ waitClock|0,184.0,0.061226756
Up Clock @ waitClock|0,185.0,0.061792111
Up Clock @ waitClock|0,186.0,0.062359087
Up Clock @ waitClock|0,187.0,0.062927672
Up Clock @ waitClock|0,188.0,0.063497855
Up Clock @ waitClock|0,189.0,0.064069624
Up Clock @ waitClock|0,190.0,0.064642969
Up Clock @ waitClock|0,191.0,0.065217878
Up Clock @ waitClock|0,192.0,0.065794339
Up Clock @ waitClock|0,193.0,0.066372342
Up Clock @ waitClock|0,194.0,0.066951876
Up Clock @ waitClock|0,195.0,0.067532929
Up Clock @ waitClock|0,196.0,0.068115491
Up Clock @ waitClock|0,197.0,0.068699550
Up Clock @ waitClock|0,198.0,0.069285096
Up Clock @ waitClock|0,199.0,0.069872118
Up Clock @ waitClock|0,200.0,0.070460605
Up Clock @ waitClock|0,201.0,0.071050546
Up Clock @ waitClock|0,202.0,0.071641930
Up Clock @ waitClock|0,203.0,0.072234748
Up Clock @ waitClock|0,204.0,0.072828988
Up Clock @ waitClock|0,205.0,0.073424640
Up Clock @ waitClock|0,206.0,0.074021693
Up Clock @ waitClock|0,207.0,0.074620137
Up Clock @ waitClock|0,208.0,0.075219962
Up Clock @ waitClock|0,209.0,0.075821157
Up Clock @ waitClock|0,210.0,0.076423712
Up Clock @ waitClock|0,211.0,0.077027616
Up Clock @ waitClock|0,212.0,0.077632860
Up Clock @ waitClock|0,213.0,0.078239433
Up Clock @ waitClock|0,214.0,0.078847325
Up Clock @ waitClock|0,215.0,0.079456527
Up Clock @ waitClock|0,216.0,0.080067027
Up Clock @ waitClock|0,217.0,0.080678817
Up Clock @ waitClock|0,218.0,0.081291886
Up Clock @ waitClock|0,219.0,0.081906224
Up Clock @ waitClock|0,220.0,0.082521822
Up Clock @ waitClock|0,221.0,0.083138670
Up Clock @ waitClock|0,222.0,0.083756758
Up Clock @ waitClock|0,223.0,0.084376076
Up Clock @ waitClock|0,224.0,0.084996615
Up Clock @ waitClock|0,225.0,0.085618365
Up Clock @ waitClock|0,226.0,0.086241316
Up Clock @ waitClock|0,227.0,0.086865460
Up Clock @ waitClock|0,228.0,0.087490786
Up Clock @ waitClock|0,229.0,0.088117286
Up Clock @ waitClock|0,230.0,0.088744949
Up Clock @ waitClock|0,231.0,0.089373767
Up Clock @ waitClock|0,232.0,0.090003730
Up Clock @ waitClock|0,233.0,0.090634830
Up Clock @ waitClock|0,234.0,0.091267056
Up Clock @ waitClock|0,235.0,0.091900399
Up Clock @ waitClock|0,236.0,0.092534852
Up Clock @ waitClock|0,237.0,0.093170404
Up Clock @ waitClock|0,238.0,0.093807046
Up Clock @ waitClock|0,239.0,0.094444770
Up Clock @ waitClock|0,240.0,0.095083566
Up Clock @ waitClock|0,241.0,0.095723426
Up Clock @ waitClock|0,242.0,0.096364341
Up Clock @ waitClock|0,243.0,0.097006302
Up Clock @ waitClock|0,244.0,0.097649301
Up Clock @ waitClock|0,245.0,0.098293327
Up Clock @ waitClock|0,246.0,0.098938374
Up Clock @ waitClock|0,247.0,0.099584432
Up Clock @ waitClock|0,248.0,0.100231493
Up Clock @ waitClock|0,249.0,0.100879547
Up Clock @ waitClock|0,250.0,0.101528587
Up Clock @ waitClock|0,251.0,0.102178605
Up Clock @ waitClock|0,252.0,0.102829591
Up Clock @ waitClock|0,253.0,0.103481537
Up Clock @ waitClock|0,254.0,0.104134435
Up Clock @ waitClock|0,255.0,0.104788277
Up Clock @ waitClock|0,256.0,0.105443054
Up Clock @ waitClock|0,257.0,0.106098758
Up Clock @ waitClock|0,258.0,0.106755380
Up Clock @ waitClock|0,259.0,0.107412914
Up Clock @ waitClock|0,260.0,0.108071350
Up Clock @ waitClock|0,261.0,0.108730681
Up Clock @ waitClock|0,262.0,0.109390898
Up Clock @ waitClock|0,263.0,0.110051994
