initialRegeneration,time,Down > 0
Up Clock @ error|0 waitClock|0,0.0,0.000000000
Up Clock @ error|0 waitClock|0,0.5,0.000000000
Up Clock @ error|0 waitClock|0,1.0,0.000000000
Up Clock @ error|0 waitClock|0,1.5,0.000000000
Up Clock @ error|0 waitClock|0,2.0,0.000000000
Up Clock @ error|0 waitClock|0,2.5,0.000000000
Up Clock @ error|0 waitClock|0,3.0,0.000000000
Up Clock @ error|0 waitClock|0,3.5,0.000000000
Up Clock @ error|0 waitClock|0,4.0,0.000000000
Up Clock @ error|0 waitClock|0,4.5,0.000000000
Up Clock @ error|0 waitClock|0,5.0,0.000000000
Up Clock @ error|0 waitClock|0,5.5,0.000000017
Up Clock @ error|0 waitClock|0,6.0,0.000000024
Up Clock @ error|0 waitClock|0,6.5,0.000000033
Up Clock @ error|0 waitClock|0,7.0,0.000000044
Up Clock @ error|0 waitClock|0,7.5,0.000000058
Up Clock @ error|0 waitClock|0,8.0,0.000000075
Up Clock @ error|0 waitClock|0,8.5,0.000000095
Up Clock @ error|0 waitClock|0,9.0,0.000000120
Up Clock @ error|0 waitClock|0,9.5,0.000000148
Up Clock @ error|0 waitClock|0,10.0,0.000000181
Up Clock @ error|0 waitClock|0,10.5,0.000000220
Up Clock @ error|0 waitClock|0,11.0,0.000000264
Up Clock @ error|0 waitClock|0,11.5,0.000000315
Up Clock @ error|0 waitClock|0,12.0,0.000000373
Up Clock @ error|0 waitClock|0,12.5,0.000000438
Up Clock @ error|0 waitClock|0,13.0,0.000000511
Up Clock @ error|0 waitClock|0,13.5,0.000000593
Up Clock @ error|0 waitClock|0,14.0,0.000000684
Up Clock @ error|0 waitClock|0,14.5,0.000000785
Up Clock @ error|0 waitClock|0,15.0,0.000000897
Up Clock @ error|0 waitClock|0,15.5,0.000001020
Up Clock @ error|0 waitClock|0,16.0,0.000001156
Up Clock @ error|0 waitClock|0,16.5,0.000001304
Up Clock @ error|0 waitClock|0,17.0,0.000001466
Up Clock @ error|0 waitClock|0,17.5,0.000001643
Up Clock @ error|0 waitClock|0,18.0,0.000001834
Up Clock @ error|0 waitClock|0,18.5,0.000002042
Up Clock @ error|0 waitClock|0,19.0,0.000002266
Up Clock @ error|0 waitClock|0,19.5,0.000002508
Up Clock @ error|0 waitClock|0,20.0,0.000002769
Up Clock @ error|0 waitClock|0,20.5,0.000003050
Up Clock @ error|0 waitClock|0,21.0,0.000003350
Up Clock @ error|0 waitClock|0,21.5,0.000003672
Up Clock @ error|0 waitClock|0,22.0,0.000004017
Up Clock @ error|0 waitClock|0,22.5,0.000004384
Up Clock @ error|0 waitClock|0,23.0,0.000004776
Up Clock @ error|0 waitClock|0,23.5,0.000005192
Up Clock @ error|0 waitClock|0,24.0,0.000005635
Up Clock @ error|0 waitClock|0,24.5,0.000006106
Up Clock @ error|0 waitClock|0,25.0,0.000006604
Up Clock @ error|0 waitClock|0,25.5,0.000007132
Up Clock @ error|0 waitClock|0,26.0,0.000007689
Up Clock @ error|0 waitClock|0,26.5,0.000008279
Up Clock @ error|0 waitClock|0,27.0,0.000008901
Up Clock @ error|0 waitClock|0,27.5,0.000009556
Up Clock @ error|0 waitClock|0,28.0,0.000010246
Up Clock @ error|0 waitClock|0,28.5,0.000010972
Up Clock @ error|0 waitClock|0,29.0,0.000011735
Up Clock @ error|0 waitClock|0,29.5,0.000012536
Up Clock @ error|0 waitClock|0,30.0,0.000013377
Up Clock @ error|0 waitClock|0,30.5,0.000014258
Up Clock @ error|0 waitClock|0,31.0,0.000015180
Up Clock @ error|0 waitClock|0,31.5,0.000016146
Up Clock @ error|0 waitClock|0,32.0,0.000017156
Up Clock @ error|0 waitClock|0,32.5,0.000018211
Up Clock @ error|0 waitClock|0,33.0,0.000019312
Up Clock @ error|0 waitClock|0,33.5,0.000020462
Up Clock @ error|0 waitClock|0,34.0,0.000021660
Up Clock @ error|0 waitClock|0,34.5,0.000022909
Up Clock @ error|0 waitClock|0,35.0,0.000024210
Up Clock @ error|0 waitClock|0,35.5,0.000025564
Up Clock @ error|0 waitClock|0,36.0,0.000026972
Up Clock @ error|0 waitClock|0,36.5,0.000028435
Up Clock @ error|0 waitClock|0,37.0,0.000029956
Up Clock @ error|0 waitClock|0,37.5,0.000031535
Up Clock @ error|0 waitClock|0,38.0,0.000033173
Up Clock @ error|0 waitClock|0,38.5,0.000034873
Up Clock @ error|0 waitClock|0,39.0,0.000036635
Up Clock @ error|0 waitClock|0,39.5,0.000038461
Up Clock @ error|0 waitClock|0,40.0,0.000040351
Up Clock @ error|0 waitClock|0,40.5,0.000042309
Up Clock @ error|0 waitClock|0,41.0,0.000044334
Up Clock @ error|0 waitClock|0,41.5,0.000046429
Up Clock @ error|0 waitClock|0,42.0,0.000048594
Up Clock @ error|0 waitClock|0,42.5,0.000050832
Up Clock @ error|0 waitClock|0,43.0,0.000053143
Up Clock @ error|0 waitClock|0,43.5,0.000055530
Up Clock @ error|0 waitClock|0,44.0,0.000057992
Up Clock @ error|0 waitClock|0,44.5,0.000060533
Up Clock @ error|0 waitClock|0,45.0,0.000063154
Up Clock @ error|0 waitClock|0,45.5,0.000065855
Up Clock @ error|0 waitClock|0,46.0,0.000068639
Up Clock @ error|0 waitClock|0,46.5,0.000071507
Up Clock @ error|0 waitClock|0,47.0,0.000074460
Up Clock @ error|0 waitClock|0,47.5,0.000077500
Up Clock @ error|0 waitClock|0,48.0,0.000080629
Up Clock @ error|0 waitClock|0,48.5,0.000083847
Up Clock @ error|0 waitClock|0,49.0,0.000087157
Up Clock @ error|0 waitClock|0,49.5,0.000090560
Up Clock @ error|0 waitClock|0,50.0,0.000094058
Up Clock @ error|0 waitClock|0,50.5,0.000097652
Up Clock @ error|0 waitClock|0,51.0,0.000101343
Up Clock @ error|0 waitClock|0,51.5,0.000105133
Up Clock @ error|0 waitClock|0,52.0,0.000109025
Up Clock @ error|0 waitClock|0,52.5,0.000113018
Up Clock @ error|0 waitClock|0,53.0,0.000117116
Up Clock @ error|0 waitClock|0,53.5,0.000121319
Up Clock @ error|0 waitClock|0,54.0,0.000125628
Up Clock @ error|0 waitClock|0,54.5,0.000130047
Up Clock @ error|0 waitClock|0,55.0,0.000134576
Up Clock @ error|0 waitClock|0,55.5,0.000139216
Up Clock @ error|0 waitClock|0,56.0,0.000143970
Up Clock @ error|0 waitClock|0,56.5,0.000148839
Up Clock @ error|0 waitClock|0,57.0,0.000153824
Up Clock @ error|0 waitClock|0,57.5,0.000158928
